哀而不傷	ai[wk er[ek bu[eu uh[rr
必正立執綏	bi[xp vg[hv li[lh vi[fj sv[sa
必正席先嚐之	bi[xp vg[hv xi[gn xm[ne ih[xe vi[dv
必作	bi[xp zo[rv
便便言	bm[rh bm[rh yj[we
籩豆之事	bm[vl dz[hk vi[dv ui[hk
辨惑	bm[ld ho[gx
卞莊子之勇	bm[dx vl[gt zi[lh vi[dv ys[sl
賓不顧矣	bb[gq bu[eu gu[iy yi[su
賓退	bb[gq tv[gz
病間	bk[bh jm[mo
屏氣似不息者	bk[ub qi[rh si[rs bu[eu xi[zx ve[to
伯牛有疾	bo[rb nq[pf yz[uo ji[bu
勃如戰色	bo[ul ru[nk vj[bg se[db
播鞀	bo[fp tc[vu
博我以文	bo[uf wo[pf yi[sr wf[wi
博學而篤志	bo[uf xt[xz er[ek du[vm vi[ux
博學而無所成名	bo[uf xt[xz er[ek wu[ee so[pj ig[wv mk[xk
博學於文	bo[uf xt[xz yu[eu wf[wi
伯夷叔	bo[rb yi[hg uu[uy
伯夷叔齊餓於首陽之下	bo[rb yi[hg uu[uy qi[wp ee[up yu[eu uz[be yh[eo vi[dv xx[hb
伯夷叔齊與	bo[rb yi[hg uu[uy qi[wp yu[hv
不拜	bu[eu bd[fh
不保其往也	bu[eu bc[rk qi[cb wh[rd ye[vu
不病人之不己知也	bu[eu bk[bh rf[pd vi[dv bu[eu ji[kv vi[uk ye[vu
不撤姜食	bu[eu ie[fw jl[bn ui[rl
不成人之惡	bu[eu ig[wv rf[pd vi[dv ee[hx
不處也	bu[eu iu[wb ye[vu
不達	bu[eu da[dz
不得	bu[eu de[ro
不得大葬	bu[eu de[ro da[hr zh[ch
不得其醬	bu[eu de[ro qi[cb jl[dy
不得其死然	bu[eu de[ro qi[cb si[hx rj[xd
不得與之言	bu[eu de[ro yu[hv vi[dv yj[we
不得中行而與之	bu[eu de[ro vs[ku hh[rh er[ek yu[hv vi[dv
不多也	bu[eu do[xx ye[vu
不貳過	bu[eu er[qb go[cz
不悱不發	bu[eu fw[xf bu[eu fa[vy
不憤不啟	bu[eu ff[xu bu[eu qi[hk
不敢不告也	bu[eu gj[vw bu[eu gc[nk ye[vu
不敢嘗	bu[eu gj[vw ih[xe
不好犯上	bu[eu hc[nz fj[qe uh[bh
不恆其德	bu[eu hg[xh qi[cb de[ru
不患寡	bu[eu hr[kx gx[gf
不患莫己知	bu[eu hr[kx mo[co ji[kv vi[uk
不患貧而患不安	bu[eu hr[kx pb[fb er[ek hr[kx bu[eu an[gn
不患人之不己知	bu[eu hr[kx rf[pd vi[dv bu[eu ji[kv vi[uk
不患無位	bu[eu hr[kx wu[ee ww[rl
不幾乎一言而	bu[eu ji[pv hu[pb yi[hh yj[we er[ek
不幾乎一言而興邦乎	bu[eu ji[pv hu[pb yi[hh yj[we er[ek xk[xb bh[fe hu[pb
不及亂	bu[eu ji[pv lr[qv
不疾言	bu[eu ji[bu yj[we
不踐跡	bu[eu jm[zj ji[yz
不見宗廟之美	bu[eu jm[ke zs[ge mn[gy vi[dv mw[bw
不教而殺謂之虐	bu[eu jn[tw er[ek ua[ia ww[yt vi[dv nt[hk
不戒視成謂之暴	bu[eu jp[gc ui[uj ig[wv ww[yt vi[dv bc[og
不敬	bu[eu jk[cw
不可	bu[eu ke[dk
不可不知也	bu[eu ke[dk bu[eu vi[uk ye[vu
不可廢也	bu[eu ke[dk fw[gv ye[vu
不可好從事而亟失時	bu[eu ke[dk hc[nz cs[rr ui[hk er[ek ji[lh ui[pe ui[oc
不可棄也	bu[eu ke[dk qi[wc ye[vu
不可使知之	bu[eu ke[dk ui[rh vi[uk vi[dv
不可徒行也	bu[eu ke[dk tu[rz xk[rh ye[vu
不可罔也	bu[eu ke[dk wh[kb ye[vu
不可陷也	bu[eu ke[dk xm[ed ye[vu
不可以長處樂	bu[eu ke[dk yi[sr ih[ph iu[wb le[px
不可以為滕薛大夫	bu[eu ke[dk yi[sr ww[dl tg[ob xt[cp dd[hr fu[er
不可以語上也	bu[eu ke[dk yi[sr yu[yw uh[bh ye[vu
不可以作巫醫	bu[eu ke[dk yi[sr zo[rv wu[gr yi[ku
不可與言而與之言	bu[eu ke[dk yu[hv yj[we er[ek yu[hv vi[dv yj[we
不可則止	bu[eu ke[dk ze[bd vi[uh
不令而行	bu[eu lk[rd er[ek xk[rh
不謀其政	bu[eu mz[yg qi[cb vg[hw
不能	bu[eu ng[sb
不能死	bu[eu ng[sb si[hx
不能以禮讓為國	bu[eu ng[sb yi[sr li[uv rh[yu ww[dl go[ww
不能用也	bu[eu ng[sb ys[ou ye[vu
不能者止	bu[eu ng[sb ve[to vi[uh
不能正其身	bu[eu ng[sb vg[hv qi[cb uf[pu
不能專對	bu[eu ng[sb vr[ev dv[yc
不逆詐	bu[eu ni[nz va[yv
不其	bu[eu qi[cb
布齊必變食	bu[uj qi[wp bi[xp bm[yy ui[rl
不遷怒	bu[eu qm[qz nu[nx
不親指	bu[eu qb[la vi[fb
不取乎	bu[eu qu[ey hu[pb
不去也	bu[eu qu[ts ye[vu
不然	bu[eu rj[xd
不仁者不可以久處約	bu[eu rf[re ve[to bu[eu ke[dk yi[sr jq[xd iu[wb yt[sb
不仁者遠矣	bu[eu rf[re ve[to yr[ez yi[su
不如好之者	bu[eu ru[nk hc[nz vi[dv ve[to
不辱君命	bu[eu ru[ic jy[xk mk[rh
不如樂之者	bu[eu ru[nk le[px vi[dv ve[to
不辱其身	bu[eu ru[ic qi[cb uf[pu
不如仁人	bu[eu ru[nk rf[re rf[pd
不如是之甚也	bu[eu ru[nk ui[op vi[dv uf[qv ye[vu
不如學也	bu[eu ru[nk xt[xz ye[vu
不如諸夏之亡也	bu[eu ru[nk vu[yt xx[ew vi[dv wh[wv ye[vu
不善不能改	bu[eu uj[yk bu[eu ng[sb gd[kw
不捨晝夜	bu[eu ue[rg vz[uo ye[wr
不食	bu[eu ui[rl
不時	bu[eu ui[oc
不使不仁者加乎其身	bu[eu ui[rh bu[eu rf[re ve[to jx[lk hu[pb qi[cb uf[pu
不使大臣怨乎不以	bu[eu ui[rh da[hr if[ku yr[xx hu[pb bu[eu yi[sr
不使勝食氣	bu[eu ui[rh ug[op ui[rl qi[rh
不仕無義	bu[eu ui[ru wu[ee yi[di
不食之矣	bu[eu ui[rl vi[dv yi[su
不說也	bu[eu uo[yb ye[vu
不俟駕行矣	bu[eu si[rs jx[lm xk[rh yi[su
不宿肉	bu[eu su[gr rz[kr
不圖為樂之至於斯也	bu[eu tu[ww ww[dl le[px vi[dv vi[ht yu[eu si[qj ye[vu
不違	bu[eu ww[wz
不為酒困	bu[eu ww[dl jq[dy ky[wa
不問馬	bu[eu wf[mk ma[vv
不吾知也如或知爾	bu[eu wu[wk vi[uk ye[vu ru[nk ho[gk vi[uk er[dx
不賢者識其小者	bu[eu xm[ub ve[to ui[yk qi[cb xn[ub ve[to
不降其志	bu[eu xl[ew qi[cb vi[ux
不相為謀	bu[eu xl[am ww[dl mz[yg
不笑	bu[eu xn[vp
不幸短命死矣	bu[eu xk[tb dr[ud mk[rh si[hx yi[su
不行焉	bu[eu xk[rh yj[hh
不學禮	bu[eu xt[xz li[uv
不學詩	bu[eu xt[xz ui[yt
不以兵車	bu[eu yi[sr bk[qb ie[qu
不億不信	bu[eu yi[rv bu[eu xb[ry
不易得也	bu[eu yi[ob de[ro ye[vu
不義而富且貴	bu[eu yi[di er[ek fu[gh qp[ke gv[vb
不亦君子乎	bu[eu yi[wy jy[xk zi[lh hu[pb
不亦可乎	bu[eu yi[wy ke[dk hu[pb
不亦樂乎	bu[eu yi[wy le[px hu[pb
不以禮節之	bu[eu yi[sr li[uv jp[ce vi[dv
不以其道得之	bu[eu yi[sr qi[cb dc[bz de[ro vi[dv
不以人廢言	bu[eu yi[sr rf[pd fw[gv yj[we
不亦善乎	bu[eu yi[wy uj[yk hu[pb
不亦宜乎	bu[eu yi[wy yi[gq hu[pb
不亦遠乎	bu[eu yi[wy yr[ez hu[pb
不亦說乎	bu[eu yi[wy yt[yb hu[pb
不亦重乎	bu[eu yi[wy vs[ph hu[pb
不有博弈者乎	bu[eu yz[uo bo[uf yi[yc ve[to hu[pb
不憂不懼	bu[eu yz[xy bu[eu ju[xj
不尤人	bu[eu yz[yd rf[pd
不有祝鮀之佞	bu[eu yz[uo vu[uk to[[ vi[dv nk[re
不逾矩	bu[eu yu[rz ju[uk
不與其退也	bu[eu yu[hv qi[cb tv[gz ye[vu
不怨天	bu[eu yr[xx tm[hd
不遠遊	bu[eu yr[ez yz[df
不曰白乎	bu[eu yt[wh bd[po hu[pb
不曰堅乎	bu[eu yt[wh jm[ut hu[pb
不曰如之何	bu[eu yt[wh ru[nk vi[dv he[rk
不在其位	bu[eu zd[ut qi[cb ww[rl
不在顓臾	bu[eu zd[ut vr[uy yu[jr
不佔而已矣	bu[eu vj[bk er[ek yi[kv yi[su
不忮不求	bu[eu vi[xu bu[eu qq[hu
不知老之將至云爾	bu[eu vi[uk lc[tb vi[dv jl[dx vi[ht yy[es er[dx
不知禮	bu[eu vi[uk li[uv
不知命	bu[eu vi[uk mk[rh
不知其可也	bu[eu vi[uk qi[cb ke[dk ye[vu
不知為不知	bu[eu vi[uk ww[dl bu[eu vi[uk
不知言	bu[eu vi[uk yj[we
不知也	bu[eu vi[uk ye[vu
不至於谷	bu[eu vi[ht yu[eu gu[bk
不莊	bu[eu vl[gt
不足以為士矣	bu[eu zu[kv yi[sr ww[dl ui[uh yi[su
不坐	bu[eu zo[rr
才不才	cd[hu bu[eu cd[hu
才難	cd[hu nj[yv
參乎	cj[sd hu[pb
參也魯	cj[sd ye[vu lu[yo
草上之風	cc[co uh[bh vi[dv fg[ji
策其馬曰	ce[vc qi[cb ma[vv yt[wh
曾是以為	cg[bo ui[op yi[sr ww[dl
曾謂泰山不如林放乎	cg[bo ww[yt td[su uj[uk bu[eu ru[nk lb[aa fh[fw hu[pb
曾皙後	cg[bo xi[ab hz[pk
曾皙曰	cg[bo xi[ab yt[wh
曾由	cg[bo yz[ou
察其所安	ia[gx qi[cb so[pj an[gn
察言而觀色	ia[gx yj[we er[ek gr[yj se[db
柴也愚	id[va ye[vu yu[ox
襜如也	ij[[ ru[nk ye[vu
諂也	ij[yd ye[vu
嘗獨立	ih[xe du[qi li[lh
長而無述焉	ih[ph er[ek wu[ee uu[az yj[hh
長沮桀溺耦而耕	ih[ph ju[dq jp[xa ni[dg ou[lo er[ek gg[le
長沮曰	ih[ph ju[dq yt[wh
常師之有	ih[xk ui[uh vi[dv yz[uo
長一身有半	ih[ph yi[hh uf[pu yz[uo bj[bf
朝服而立於阼階	ic[uo fu[oe er[ek li[lh yu[eu zo[ev jp[er
車中不內顧	ie[qu vs[ku bu[eu nw[kr gu[iy
陳成子弒簡公	if[eq ig[wv zi[lh ui[iq jm[vm gs[bs
陳恆弒其君	if[eq hg[xh ui[iq qi[cb jy[xk
陳亢退而喜曰	if[eq kh[wj tv[gz er[ek xi[uk yt[wh
陳亢問於伯魚曰	if[eq kh[wj wf[mk yu[eu bo[rb yu[dt yt[wh
陳力就列	if[eq li[vp jq[wy lp[hd
晨門曰	if[oi mf[du yt[wh
臣事君	if[ku ui[hk jy[xk
陳司敗問	if[eq si[vh bd[bw wf[mk
陳子禽謂子貢曰	if[eq zi[lh qb[rw ww[yt zi[lh gs[gb yt[wh
誠不以富	ig[yw bu[eu yi[sr fu[gh
乘肥馬	ig[qb fw[ob ma[vv
稱其德也	ig[hd qi[cb de[ru ye[vu
成事不說	ig[wv ui[hk bu[eu uo[yb
逞顏	ig[kz yj[ly
乘殷之輅	ig[qb yb[pj vi[dv lu[iw
成於樂	ig[wv yu[eu le[px
誠哉是言也	ig[yw zd[tk ui[op yj[we ye[vu
稱諸異	ig[hd vu[yt yi[kc
赤爾何如	ii[ty er[dx he[rk ru[nk
恥躬之不逮也	ii[ev gs[ug vi[dv bu[eu dd[xz ye[vu
恥也	ii[ev ye[vu
赤也惑	ii[ty ye[vu ho[gx
赤也為之小	ii[ty ye[vu ww[dl vi[dv xn[ub
赤之適齊也	ii[ty vi[dv ui[qz qi[wp ye[vu
崇德也	is[ug de[ru ye[vu
臭惡	iz[zq ee[hx
出辭氣	iu[ck ci[ql qi[rh
楚狂接輿歌而過孔子曰	iu[ap kl[qw jp[fl yu[pb ge[kd er[ek go[cz ks[zv zi[lh yt[wh
出門如見大賓	iu[ck mf[du ru[nk jm[ke da[hr bb[gq
出納之吝	iu[ck na[sk vi[dv lb[wk
出三日	iu[ck sj[hh ri[wh
出曰	iu[ck yt[wh
出則事公卿	iu[ck ze[bd ui[hk gs[bs qk[pg
出則悌	iu[ck ze[bd ti[xb
傳不習乎	ir[re bu[eu xi[vd hu[pb
春服既成	iy[so fu[oe ji[gj ig[wv
純如也	iy[st ru[nk ye[vu
賜不受命	ci[bo bu[eu uz[ay mk[rh
辭達而已矣	ci[ql da[dz er[ek yi[kv yi[su
辭毋	ci[ql wu[vv
賜也	ci[bo ye[vu
賜也達	ci[bo ye[vu da[dz
賜也可使從政也與	ci[bo ye[vu ke[dk ui[rh cs[rr vg[hw ye[vu yu[hv
次矣	ci[dd yi[su
賜之牆也及肩	ci[bo vi[dv ql[tt ye[vu ji[pv jm[ho
從而不改	cs[rr er[ek bu[eu gd[kw
從我於陳蔡者	cs[rr wo[pf yu[eu if[eq cd[cx ve[to
從吾所好	cs[rr wu[wk so[pj hc[nz
從者病	cs[rr ve[to bk[bh
從者見之	cs[rr ve[to jm[ke vi[dv
從者曰	cs[rr ve[to yt[wh
從之	cs[rr vi[dv
踧如也	cu[[ ru[nk ye[vu
大車無輗	da[hr ie[qu wu[ee ni[[
大德不逾閒	da[hr de[ru bu[eu yu[rz xm[ma
大事不成	da[hr ui[hk bu[eu ig[wv
大師摯適齊	da[hr ui[uh vi[ff ui[qz qi[wp
達巷黨人曰	da[dz xl[gk dh[xk rf[pd yt[wh
大哉孔子	da[hr zd[tk ks[zv zi[lh
大哉問	da[hr zd[tk wf[mk
大哉堯之為君也	da[hr zd[tk yc[qh vi[dv ww[dl jy[xk ye[vu
蕩蕩乎	dh[cd dh[cd hu[pb
當仁不讓於師	dh[xx rf[re bu[eu rh[yu yu[eu ui[uh
當灑掃應對進退	dh[xx sa[dx sc[fx yk[gx dv[yc jb[ez tv[gz
當暑	dh[xx uu[ot
道不同	dc[bz bu[eu ts[kh
道不憂貧	dc[bz bu[eu yz[xy pb[fb
禱爾於	dc[uf er[dx yu[eu
道千乘之國	dc[bz qm[pu ug[qb vi[dv go[ww
道聽而途說	dc[bz tk[kj er[ek tu[rz uo[yb
道之不行	dc[bz vi[dv bu[eu xk[rh
道之將廢也與	dc[bz vi[dv jl[dx fw[gv ye[vu yu[hv
道之將行也與	dc[bz vi[dv jl[dx xk[rh ye[vu yu[hv
道之斯行	dc[bz vi[dv si[qj xk[rh
道之以德	dc[bz vi[dv yi[sr de[ru
道之以政	dc[bz vi[dv yi[sr vg[hw
德不孤	de[ru bu[eu gu[zp
得見君子者	de[ro jm[ke jy[xk zi[lh ve[to
得見有恆者	de[ro jm[ke yz[uo hg[xh ve[to
得其門者或寡矣	de[ro qi[cb mf[du ve[to ho[gk gx[gf yi[su
德行	de[ru xk[rh
德之不修	de[ru vi[dv bu[eu xq[ru
德之棄也	de[ru vi[dv qi[wc ye[vu
德之賊也	de[ru vi[dv zw[bg ye[vu
帝臣不蔽	di[lj if[ku bu[eu bi[cb
弟也	di[bg ye[vu
弟子服其勞	di[bg zi[lh fu[oe qi[cb lc[cl
禘自既灌而往者	di[[ zi[pm ji[gj gr[dc er[ek wh[rd ve[to
弟子入則孝	di[bg zi[lh ru[pd ze[bd xn[tz
弟子孰為好學	di[bg zi[lh uu[wj ww[dl hc[nz xt[xz
顛而不扶	dm[uy er[ek bu[eu fu[fe
點爾何如	dm[bd er[dx he[rk ru[nk
顛沛必於是	dm[uy pw[dh bi[xp yu[eu ui[op
定公問	dk[gp gs[bs wf[mk
侗而不願	ds[rk er[ek bu[eu yr[ix
東里子產潤色	ds[qx li[ot zi[lh ij[lp ry[dm se[db
動容貌	ds[el rs[xr mc[pb
東首	ds[qx uz[be
動之不以禮	ds[el vi[dv bu[eu yi[sr li[uv
動之斯和	ds[el vi[dv si[qj he[hk
斗筲之人	dz[du uc[vx vi[dv rf[pd
篤信好學	du[vm xb[ry hc[nz xt[xz
短右袂	dr[ud yz[uk mw[yv
端章甫	dr[lu vh[lo fu[uo
對曰	dv[yc yt[wh
奪伯氏駢邑三百	do[dc bo[rb ui[pq pm[mb yi[kb sj[hh bd[eo
多見而識	do[xx jm[ke er[ek ui[yk
多見其不知量也	do[xx jm[ke qi[cb bu[eu vi[uk ll[oh ye[vu
多見闕殆	do[xx jm[ke qt[mn dd[hs
多食	do[xx ui[rl
多識於鳥獸草木之名	do[xx ui[yk yu[eu nn[nh uz[bh cc[co mu[ub vi[dv mk[xk
多聞	do[xx wf[me
多聞闕疑	do[xx wf[me qt[mn yi[bs
多怨	do[xx yr[xx
惡不仁者	ee[hx bu[eu rf[re ve[to
惡不孫以為勇者	ee[hx bu[eu sy[zx yi[sr ww[dl ys[sl ve[to
惡稱人之惡者	ee[hx ig[hd rf[pd vi[dv ee[hx ve[to
惡果敢而窒者	ee[hx go[oa gj[vw er[ek vi[xh ve[to
惡乎成名	ee[hx hu[pb ig[wv mk[xk
惡徼以為知者	ee[hx jn[rb yi[sr ww[dl vi[uk ve[to
惡訐以為直	ee[hx jp[yg yi[sr ww[dl vi[uj
惡利口之覆邦家者	ee[hx li[hd kz[uv vi[dv fu[xr bh[fe jx[gu ve[to
惡衣服而致美乎黻冕	ee[hx yi[wy fu[oe er[ek vi[hw mw[bw hu[pb fu[yu mm[od
惡勇而無禮者	ee[hx ys[sl er[ek wu[ee li[uv ve[to
惡鄭聲之亂雅樂也	ee[hx vg[be ug[um vi[dv lr[qv ya[yv yt[px ye[vu
惡之慾其	ee[hx vi[dv yu[bd qi[cb
惡紫之奪朱也	ee[hx zi[vy vi[dv do[dc vu[ph ye[vu
爾愛其羊	er[dx ai[au qi[cb yh[bs
而不	er[ek bu[eu
而不恥者	er[ek bu[eu ii[ev ve[to
而不能守也	er[ek bu[eu ng[sb uz[gc ye[vu
而不三黜	er[ek bu[eu sj[hh iu[hi
而不與立也	er[ek bu[eu yu[hv li[lh ye[vu
而不慍	er[ek bu[eu yy[xo
而朝齊	er[ek ic[uo qi[wp
而恥惡衣惡食者	er[ek ii[ev ee[hx yi[wy ee[hx ui[rl ve[to
而犯之	er[ek fj[qe vi[dv
而非邦也者	er[ek fw[su bh[fe ye[vu ve[to
而好犯上者	er[ek hc[nz fj[qe uh[bh ve[to
而好作亂者	er[ek hc[nz zo[rv lr[qv ve[to
而和	er[ek he[hk
而後從之	er[ek hz[pk cs[rr vi[dv
而後和之	er[ek hz[pk he[hk vi[dv
而後其食	er[ek hz[pk qi[cb ui[rl
而患不均	er[ek hr[kx bu[eu jy[tb
而貨殖焉	er[ek ho[rb vi[hu yj[hh
而今而後	er[ek jb[rd er[ek hz[pk
而可大受也	er[ek ke[dk da[hr uz[ay ye[vu
而可小知也	er[ek ke[dk xn[ub vi[uk ye[vu
而亂大倫	er[ek lr[qv da[hr ly[rr
而謀動干戈於邦內	er[ek mz[yg ds[el gj[hu ge[qp yu[eu bh[fe nw[kr
而豈徒哉	er[ek qi[uk tu[rz zd[tk
而親仁	er[ek qb[la rf[re
而求也為之聚斂而附益之	er[ek qq[hu ye[vu ww[dl vi[dv ju[ep lm[rw er[ek fu[er yi[bm vi[dv
二三子	er[hh sj[hh zi[lh
二三子何患於喪乎	er[hh sj[hh zi[lh he[rk hr[kx yu[eu sh[ty hu[pb
二三子以我為隱乎	er[hh sj[hh zi[lh yi[sr wo[pf ww[dl yb[ed hu[pb
而誰以易之	er[ek uv[yv yi[sr yi[ob vi[dv
爾所不知	er[dx so[pj bu[eu vi[uk
爾所謂達者	er[dx so[pj ww[yt da[dz ve[to
而往拜之	er[ek wh[rd bd[fh vi[dv
而行違	er[ek xk[rh ww[wz
而學詩	er[ek xt[xz ui[yt
而亦何	er[ek yi[wy he[rk
而由人乎哉	er[ek yz[ou rf[pd hu[pb zd[tk
而有宋朝之美	er[ek yz[uo ss[ga ic[uo vi[dv mw[bw
而在蕭牆之內也	er[ek zd[ut xn[cx ql[tt vi[dv nw[kr ye[vu
邇之事父	er[dz vi[dv ui[hk fu[bi
而子證之	er[ek zi[lh vg[yh vi[dv
發憤忘食	fa[vy ff[xu wh[wx ui[rl
法語之言	fa[dt yu[yw vi[dv yj[we
泛愛眾	fj[dp ai[au vs[rr
樊遲出	fj[ad ii[uz iu[ck
樊遲從遊於舞雩之下	fj[ad ii[uz cs[rr yz[df yu[eu wu[rx yu[yh vi[dv xx[hb
樊遲請學稼	fj[ad ii[uz qk[yf xt[xz jx[hg
樊遲退	fj[ad ii[uz tv[gz
樊遲未達	fj[ad ii[uz ww[ha da[dz
樊遲問仁	fj[ad ii[uz wf[mk rf[re
樊遲問知	fj[ad ii[uz wf[mk vi[uk
樊遲御	fj[ad ii[uz yu[rw
樊遲曰	fj[ad ii[uz yt[wh
犯而不校	fj[qe er[ek bu[eu jn[al
飯疏食	fj[up uu[pw ui[rl
樊須也	fj[ad xu[py ye[vu
方六七十	fh[dw lq[wb qi[hv ui[hu
放於利而行	fh[fw yu[eu li[hd er[ek xk[rh
非不說子之道	fw[su bu[eu uo[yb zi[lh vi[dv dc[bz
非崇德與	fw[su is[ug de[ru yu[hv
非達也	fw[su da[dz ye[vu
非道弘人	fw[su dc[bz hs[gs rf[pd
非夫人之為慟而	fw[su fu[er rf[pd vi[dv ww[dl ts[xe er[ek
非敢後也	fw[su gj[vw hz[pk ye[vu
非敢為	fw[su gj[vw ww[dl
非公事	fw[su gs[bs ui[hk
非惑與	fw[su ho[gx yu[hv
非祭肉	fw[su ji[xe rz[kr
非禮勿動	fw[su li[uv wu[bp ds[el
非禮勿視	fw[su li[uv wu[bp ui[uj
非禮勿聽	fw[su li[uv wu[bp tk[kj
非禮勿言	fw[su li[uv wu[bp yj[we
非其鬼而祭之	fw[su qi[cb gv[be er[ek ji[xe vi[dv
非求益者也	fw[su qq[hu yi[bm ve[to ye[vu
非帷裳	fw[su ww[jv uh[xy
非我也	fw[su wo[pf ye[vu
非吾徒也	fw[su wu[wk tu[rz ye[vu
非修慝與	fw[su xq[ru te[kx yu[hv
非也	fw[su ye[vu
菲飲食而致孝乎鬼神	fw[cf yb[ud ui[rl er[ek vi[hw xn[tz hu[pb gv[be uf[uo
非曰能之	fw[su yt[wh ng[sb vi[dv
廢中權	fw[gv vs[ku qr[ay
非諸侯而何	fw[su vu[yt hz[rv er[ek he[rk
非助我者也	fw[su vu[ql wo[pf ve[to ye[vu
忿思難	ff[fx si[tx nj[yv
風乎舞雩	fg[ji hu[pb wu[rx yu[yh
鳳鳥不至	fg[jy nn[nh bu[eu vi[ht
鳳兮鳳兮	fg[jy xi[bk fg[jy xi[bk
佛肸以中牟畔	fo[rf xi[[ yi[sr vs[ku mu[sn pj[tb
