阿比可糖	aa[ek bi[bb ke[dk th[mg
阿拉伯糖基葡糖苷	aa[ek la[fl bo[rb th[mg ji[qt pu[cb th[mg gj[cg
阿拉伯糖酸	aa[ek la[fl bo[rb th[mg sr[ys
阿拉伯糖型抗壞血酸	aa[ek la[fl bo[rb th[mg xk[kt kh[fw hk[tb xt[pm sr[ys
阿拉伯酮糖	aa[ek la[fl bo[rb ts[yk th[mg
阿利氏原理	aa[ek li[hd ui[pq yr[ib li[wo
阿倫氏法則	aa[ek ly[rr ui[pq fa[dt ze[bd
阿洛甲基糖	aa[ek lo[dw jx[ou ji[qt th[mg
阿洛糖	aa[ek lo[dw th[mg
阿洛糖異染色體	aa[ek lo[dw th[mg yi[kc rj[da se[db ti[ra
阿洛酮糖	aa[ek lo[dw ts[yk th[mg
阿洛酮糖磷酸途徑	aa[ek lo[dw ts[yk th[mg lb[em sr[ys tu[rz jk[rs
阿洛酮糖腺苷	aa[ek lo[dw ts[yk th[mg xm[ob gj[cg
阿嗎靈	aa[ek ma[km lk[xh
阿黴素亞德里亞黴素	aa[ek mw[yr su[fy ya[hy de[ru li[ot ya[hy mw[yr su[fy
阿米巴病	aa[ek mi[ba ba[ku bk[bh
阿米巴澱粉酶	aa[ek mi[ba ba[ku dm[dg ff[mf mw[yr
阿米巴肺膿腫	aa[ek mi[ba ba[ku fw[oh ns[og vs[ov
阿米巴狀細胞	aa[ek mi[ba ba[ku vl[dq xi[st bc[ob
阿密妥	aa[ek mi[gu to[an
阿明露法	aa[ek mk[oo lu[yz fa[dt
阿尼齊科夫細胞	aa[ek ni[ub qi[wp ke[hd fu[er xi[st bc[ob
阿脲	aa[ek nn[ou
阿脲酸	aa[ek nn[ou sr[ys
阿脲糖尿病	aa[ek nn[ou th[mg nn[uu bk[bh
阿佩爾綜合徵	aa[ek pw[rj er[dx zs[sg he[rh vg[rh
阿片	aa[ek pm[pu
阿片劑	aa[ek pm[pu ji[wd
阿片樣促皮質素原	aa[ek pm[pu yh[ay cu[rz pi[vp vi[pu su[fy yr[ib
阿片樣肽	aa[ek pm[pu yh[ay td[od
阿片樣物質	aa[ek pm[pu yh[ay wu[nb vi[pu
啊樸啡	aa[ke pu[ab fw[kf
阿曲庫銨	aa[ek qu[ou ku[gi an[jg
阿紹夫小體	aa[ek uc[sd fu[er xn[ub ti[ra
阿斯巴甜劑	aa[ek si[qj ba[ku tm[qg ji[wd
啊糖腺苷	aa[ke th[mg xm[ob gj[cg
阿托品	aa[ek to[fp pb[kk
阿扎那韋	aa[ek va[fv na[ve ww[hh
阿卓糖	aa[ek vo[bo th[mg
阿卓糖醇	aa[ek vo[bo th[mg iy[yw
埃伯內氏腺	ai[ts bo[rb nw[kr ui[pq xm[ob
埃伯內腺	ai[ts bo[rb nw[kr xm[ob
埃伯內線	ai[ts bo[rb nw[kr xm[sj
矮草草甸	ai[uh cc[co cc[co dm[bt
癌蛋白	ai[bk dj[pi bd[po
愛德華茲心臟瓣膜	ai[au de[ru hx[ru zi[by xb[dv zh[og bj[lp mo[oc
埃德曼降解	ai[ts de[ru mj[os jl[ew jp[dd
埃德曼試劑	ai[ts de[ru mj[os ui[yq ji[wd
愛德蒙託龍	ai[au de[ru mg[ch to[fp ls[yp
癌得平	ai[bk de[ro pk[hb
愛德生試驗	ai[au de[ru ug[pf ui[yq yj[mr
艾杜糖	ai[ci du[at th[mg
艾杜糖醇	ai[ci du[at th[mg iy[yw
艾杜糖苷酸酶	ai[ci du[at th[mg gj[cg sr[ys mw[yr
艾杜糖醛酸	ai[ci du[at th[mg qr[yc sr[ys
艾杜糖醛酸鹽	ai[ci du[at th[mg qr[yc sr[ys yj[tm
艾杜糖酸	ai[ci du[at th[mg sr[ys
艾杜糖酸內酯	ai[ci du[at th[mg sr[ys nw[kr vi[yb
矮稈品種	ai[uh gj[hg pb[kk vs[hv
嗌綱	ai[kb gh[sk
矮高位芽植物	ai[uh gc[wk ww[rl ya[cy vi[au wu[nb
矮灌叢地	ai[uh gr[dc cs[rh di[ty
矮灌木	ai[uh gr[dc mu[ub
矮化病	ai[uh hx[rq bk[bh
癌基因	ai[bk ji[qt yb[wd
埃可病毒	ai[ts ke[dk bk[bh du[fm
埃利森綜合徵	ai[ts li[hd sf[aa zs[sg he[rh vg[rh
埃利希側鏈學說	ai[ts li[hd xi[iu ce[rb lm[ji xt[xz uo[yb
艾利希氏側鏈學說	ai[ci li[hd xi[iu ui[pq ce[rb lm[ji xt[xz uo[yb
矮林	ai[uh lb[aa
矮林地	ai[uh lb[aa di[ty
艾默夾板	ai[ci mo[hq jx[hb bj[ap
艾姆氏實驗	ai[ci mu[nm ui[pq ui[gd yj[mr
癌胚抗原	ai[bk pw[ob kh[fw yr[ib
癌前病變	ai[bk qm[bo bk[bh bm[yy
矮牽牛苷	ai[uh qm[dg nq[pf gj[cg
矮牽牛苷配基	ai[uh qm[dg nq[pf gj[cg pw[yk ji[qt
癌前期有	ai[bk qm[bo qi[qo yz[uo
矮喬木	ai[uh qn[pp mu[ub
癌溶解	ai[bk rs[dx jp[dd
癌肉瘤	ai[bk rz[kr lq[bp
埃塞俄比亞界	ai[ts sd[gt ee[rp bi[bb ya[hy jp[tr
癌生成	ai[bk ug[pf ig[wv
艾氏腹水癌細胞	ai[ci ui[pq fu[or uv[uu ai[bk xi[st bc[ob
矮態	ai[uh td[dx
癌細胞樣生長	ai[bk xi[st bc[ob yh[ay ug[pf vh[ph
矮小發育	ai[uh xn[ub fa[vy yu[wo
矮小者	ai[uh xn[ub ve[to
癌學	ai[bk xt[xz
矮異特龍	ai[uh yi[kc te[nt ls[yp
癌症轉移	ai[bk vg[bh vr[ie yi[hx
矮壯素	ai[uh vl[du su[fy
愛滋病	ai[au zi[db bk[bh
愛滋病毒	ai[au zi[db bk[bh du[fm
氨苄青黴素	an[qg bm[cd qk[fo mw[yr su[fy
氨苄青黴素抗性	an[qg bm[cd qk[fo mw[yr su[fy kh[fw xk[xp
氨苄青黴素抗性酰胺酶	an[qg bm[cd qk[fo mw[yr su[fy kh[fw xk[xp xm[yn an[og mw[yr
氨苄青黴素敏感	an[qg bm[cd qk[fo mw[yr su[fy mb[rw gj[wx
氨苄青黴索	an[qg bm[cd qk[fo mw[yr so[uy
氨丙醇	an[qg bk[hk iy[yw
氨丙基轉移酶	an[qg bk[hk ji[qt vr[ie yi[hx mw[yr
安瓿	an[gn bu[lw
安瓿瓶阿黴素	an[gn bu[lw pk[bw aa[ek mw[yr su[fy
氨茶鹼	an[qg ia[cr jm[ew
暗產色菌	an[ol ij[lp se[db jy[cw
暗帶	an[ol dd[cj
暗反應	an[ol fj[py yk[gx
按撫法	an[fg fu[fe fa[dt
暗復活作用	an[ol fu[ro ho[dq zo[rv ys[ou
安福靈	an[gn fu[uh lk[xh
安氟醚	an[gn fu[qf mi[ym
暗感期	an[ol gj[wx qi[qo
鞍膈	an[gg ge[oh
安哥拉紫檀素	an[gn ge[kk la[fl zi[vy tj[aw su[fy
按骨術	an[fg gu[ko uu[ad
安哈酮定	an[gn ha[kr ts[yk dk[gp
暗褐菌素	an[ol he[yo jy[cw su[fy
暗褐色	an[ol he[yo se[db
氨合作用	an[qg he[rh zo[rv ys[ou
胺化	an[og hx[rq
按花粉萌發孔的數目	an[fg hx[cr ff[mf mg[co fa[vy ks[zv de[bb uu[mw mu[we
氨化物	an[qg hx[rq wu[nb
氨化細菌	an[qg hx[rq xi[st jy[cw
胺化作用	an[og hx[rq zo[rv ys[ou
氨化作用	an[qg hx[rq zo[rv ys[ou
氨茴黴素	an[qg hv[cw mw[yr su[fy
氨茴酸鄰氨基	an[qg hv[cw sr[ys lb[re an[qg ji[qt
氨茴酰鄰氨基	an[qg hv[cw xm[yn lb[re an[qg ji[qt
鞍基	an[gg ji[qt
氨基	an[qg ji[qt
氨基巴比妥	an[qg ji[qt ba[ku bi[bb to[an
氨基半乳糖	an[qg ji[qt bj[bf ru[av th[mg
氨基半乳糖苷	an[qg ji[qt bj[bf ru[av th[mg gj[cg
氨基半乳糖基轉移酶	an[qg ji[qt bj[bf ru[av th[mg ji[qt vr[ie yi[hx mw[yr
氨基保護劑	an[qg ji[qt bc[rk hu[fh ji[wd
氨基苯二酰肼	an[qg ji[qt bf[ca er[hh xm[yn jk[oe
氨基苯磺酰胺	an[qg ji[qt bf[ca hl[eg xm[yn an[og
氨基苯基糖苷	an[qg ji[qt bf[ca ji[qt th[mg gj[cg
氨基苯甲酸	an[qg ji[qt bf[ca jx[ou sr[ys
氨基苯甲酸丙酯	an[qg ji[qt bf[ca jx[ou sr[ys bk[hk vi[yb
氨基丙二酰脲	an[qg ji[qt bk[hk er[hh xm[yn nn[ou
氨基丙酸	an[qg ji[qt bk[hk sr[ys
氨基丙烷	an[qg ji[qt bk[hk wj[hg
氨基丙烯酸	an[qg ji[qt bk[hk xi[hi sr[ys
氨基醇類	an[qg ji[qt iy[yw lw[md
氨基氮氨酰基	an[qg ji[qt dj[qh an[qg xm[yn ji[qt
氨基蝶呤	an[qg ji[qt dp[in lk[kr
氨基丁酸	an[qg ji[qt dk[hu sr[ys
氨基端	an[qg ji[qt dr[lu
氨基二羧酸	an[qg ji[qt er[hh so[ys sr[ys
氨基甘露糖	an[qg ji[qt gj[nh lu[yz th[mg
氨基胍	an[qg ji[qt gx[op
氨基化	an[qg ji[qt hx[rq
氨基環丙烷羧酸	an[qg ji[qt hr[wb bk[hk wj[hg so[ys sr[ys
氨基茴香醚	an[qg ji[qt hv[cw xl[ho mi[ym
氨基己二酸半醛	an[qg ji[qt ji[kv er[hh sr[ys bj[bf qr[yc
氨基己糖	an[qg ji[qt ji[kv th[mg
氨基己糖苷	an[qg ji[qt ji[kv th[mg gj[cg
氨基己糖苷酶	an[qg ji[qt ji[kv th[mg gj[cg mw[yr
氨基甲酸	an[qg ji[qt jx[ou sr[ys
氨基甲酸激酶	an[qg ji[qt jx[ou sr[ys ji[db mw[yr
氨基甲酸酯	an[qg ji[qt jx[ou sr[ys vi[yb
氨基甲烷	an[qg ji[qt jx[ou wj[hg
氨基甲烷緩衝液	an[qg ji[qt jx[ou wj[hg hr[sa is[dv ye[dw
氨基連接臂	an[qg ji[qt lm[iz jp[fl bi[uo
氨基磷酸酶	an[qg ji[qt lb[em sr[ys mw[yr
氨基六氫吡啶羧酸	an[qg ji[qt lq[wb qk[qs bi[kb dk[kg so[ys sr[ys
氨基嘧啶丙氨酸	an[qg ji[qt mi[kg dk[kg bk[hk an[qg sr[ys
氨基咪唑	an[qg ji[qt mi[km zo[kr
氨基咪唑核苷酸	an[qg ji[qt mi[km zo[kr he[aw gj[cg sr[ys
氨基末端	an[qg ji[qt mo[ha dr[lu
氨基脲	an[qg ji[qt nn[ou
氨基偶氮苯	an[qg ji[qt ou[ro dj[qh bf[ca
氨基嘌呤	an[qg ji[qt pn[kx lk[kr
氨基葡糖	an[qg ji[qt pu[cb th[mg
氨基葡糖苷	an[qg ji[qt pu[cb th[mg gj[cg
氨基葡糖苷酶	an[qg ji[qt pu[cb th[mg gj[cg mw[yr
氨基葡萄糖	an[qg ji[qt pu[cb tc[cb th[mg
氨基青酶烷酸	an[qg ji[qt qk[fo mw[yr wj[hg sr[ys
氨基青黴烷酸	an[qg ji[qt qk[fo mw[yr wj[hg sr[ys
氨基三環癸烷	an[qg ji[qt sj[hh hr[wb gv[dt wj[hg
氨基三唑	an[qg ji[qt sj[hh zo[kr
氨基酸臂	an[qg ji[qt sr[ys bi[uo
氨基酸殘基	an[qg ji[qt sr[ys cj[hj ji[qt
氨基酸殘基接觸面	an[qg ji[qt sr[ys cj[hj ji[qt jp[fl iu[di mm[ew
氨基酸側鏈	an[qg ji[qt sr[ys ce[rb lm[ji
氨基酸代謝	an[qg ji[qt sr[ys dd[rq xp[yu
氨基酸代謝病	an[qg ji[qt sr[ys dd[rq xp[yu bk[bh
氨基酸的活化酯	an[qg ji[qt sr[ys de[bb ho[dq hx[rq vi[yb
氨基酸分析器	an[qg ji[qt sr[ys ff[bd xi[aj qi[kq
氨基酸分析儀	an[qg ji[qt sr[ys ff[bd xi[aj yi[rd
氨基酸混合物	an[qg ji[qt sr[ys hy[do he[rh wu[nb
氨基酸活化作用	an[qg ji[qt sr[ys ho[dq hx[rq zo[rv ys[ou
氨基酸結合部位	an[qg ji[qt sr[ys jp[su he[rh bu[le ww[rl
氨基酸尿	an[qg ji[qt sr[ys nn[uu
氨基酸偏愛性	an[qg ji[qt sr[ys pm[rh ai[au xk[xp
氨基酸頻率	an[qg ji[qt sr[ys pb[vy lv[wu
氨基酸使用	an[qg ji[qt sr[ys ui[rh ys[ou
氨基酸使用頻率	an[qg ji[qt sr[ys ui[rh ys[ou pb[vy lv[wu
氨基酸脫甲基酶	an[qg ji[qt sr[ys to[ob jx[ou ji[qt mw[yr
氨基酸脫羧酶	an[qg ji[qt sr[ys to[ob so[ys mw[yr
氨基酸消旋酶	an[qg ji[qt sr[ys xn[dx xr[fr mw[yr
氨基酸修飾	an[qg ji[qt sr[ys xq[ru ui[ur
氨基酸序列	an[qg ji[qt sr[ys xu[gy lp[hd
氨基酸血	an[qg ji[qt sr[ys xt[pm
氨基酸氧化酶	an[qg ji[qt sr[ys yh[qy hx[rq mw[yr
氨基酸乙酰轉移酶	an[qg ji[qt sr[ys yi[vv xm[yn vr[ie yi[hx mw[yr
氨基酸轉乙酰酶	an[qg ji[qt sr[ys vr[ie yi[vv xm[yn mw[yr
氨基酸轉運	an[qg ji[qt sr[ys vr[ie yy[ez
氨基酸轉運蛋白	an[qg ji[qt sr[ys vr[ie yy[ez dj[pi bd[po
氨基酸組成	an[qg ji[qt sr[ys zu[sq ig[wv
氨基酸組成分析儀	an[qg ji[qt sr[ys zu[sq ig[wv ff[bd xi[aj yi[rd
氨基糖	an[qg ji[qt th[mg
氨基糖苷	an[qg ji[qt th[mg gj[cg
氨基糖苷類抗生素	an[qg ji[qt th[mg gj[cg lw[md kh[fw ug[pf su[fy
氨基糖苷磷酸轉移酶	an[qg ji[qt th[mg gj[cg lb[em sr[ys vr[ie yi[hx mw[yr
氨基酮	an[qg ji[qt ts[yk
氨基頭孢菌酸	an[qg ji[qt tz[dd bc[zb jy[cw sr[ys
氨基烷基糖苷	an[qg ji[qt wj[hg ji[qt th[mg gj[cg
氨基戊二酸	an[qg ji[qt wu[iv er[hh sr[ys
氨基戊酰胺	an[qg ji[qt wu[iv xm[yn an[og
氨基酰	an[qg ji[qt xm[yn
氨基乙醇	an[qg ji[qt yi[vv iy[yw
氨基已二酸途徑	an[qg ji[qt yi[kv er[hh sr[ys tu[rz jk[rs
氨基乙磺酸	an[qg ji[qt yi[vv hl[eg sr[ys
氨基乙酸銨	an[qg ji[qt yi[vv sr[ys an[jg
氨基已糖苷	an[qg ji[qt yi[kv th[mg gj[cg
氨基乙酰丙酸	an[qg ji[qt yi[vv xm[yn bk[hk sr[ys
氨基移轉酶	an[qg ji[qt yi[hx vr[ie mw[yr
氨基轉移酶	an[qg ji[qt vr[ie yi[hx mw[yr
氨甲蝶呤	an[qg jx[ou dp[in lk[kr
氨甲蝶嶺	an[qg jx[ou dp[in lk[ur
氨甲蝶呤友菌素	an[qg jx[ou dp[in lk[kr yz[uy jy[cw su[fy
氨甲基吡咯	an[qg jx[ou ji[qt bi[kb lo[kw
氨甲基羥異惡唑	an[qg jx[ou ji[qt ql[ys yi[kc ee[hx zo[kr
氨甲酸激酶	an[qg jx[ou sr[ys ji[db mw[yr
氨甲酰	an[qg jx[ou xm[yn
氨甲酰丙氨酸	an[qg jx[ou xm[yn bk[hk an[qg sr[ys
氨甲酰蛋白	an[qg jx[ou xm[yn dj[pi bd[po
氨甲酰膽鹼	an[qg jx[ou xm[yn dj[oo jm[ew
氨甲酰穀氨酸	an[qg jx[ou xm[yn gu[bk an[qg sr[ys
氨甲酰化	an[qg jx[ou xm[yn hx[rq
氨甲酰基	an[qg jx[ou xm[yn ji[qt
氨甲酰基咪唑核苷酸	an[qg jx[ou xm[yn ji[qt mi[km zo[kr he[aw gj[cg sr[ys
氨甲酰基轉移酶	an[qg jx[ou xm[yn ji[qt vr[ie yi[hx mw[yr
氨甲酰磷酸	an[qg jx[ou xm[yn lb[em sr[ys
氨甲酰磷酸合成酶	an[qg jx[ou xm[yn lb[em sr[ys he[rh ig[wv mw[yr
氨甲酰咪唑	an[qg jx[ou xm[yn mi[km zo[kr
氨甲酰鳥氨酸	an[qg jx[ou xm[yn nn[nh an[qg sr[ys
氨甲酰牛磺酶	an[qg jx[ou xm[yn nq[pf hl[eg mw[yr
氨甲酰牛磺酸	an[qg jx[ou xm[yn nq[pf hl[eg sr[ys
氨甲酰天冬氨酸	an[qg jx[ou xm[yn tm[hd ds[wd an[qg sr[ys
氨甲酰天冬氨酸脫水酶	an[qg jx[ou xm[yn tm[hd ds[wd an[qg sr[ys to[ob uv[uu mw[yr
氨甲酰血紅蛋白	an[qg jx[ou xm[yn xt[pm hs[sg dj[pi bd[po
暗間隙	an[ol jm[mo xi[ex
鞍結節腦膜瘤	an[gg jp[su jp[ce nc[ow mo[oc lq[bp
氨解作用	an[qg jp[dd zo[rv ys[ou
安米妥	an[gn mi[ba to[an
暗明圖案	an[ol mk[oo tu[ww an[ga
安尼素鹼	an[gn ni[ub su[fy jm[ew
胺前體攝取	an[og qm[bo ti[ra ue[fe qu[ey
鞍區阻滯	an[gg qu[ki zu[eq vi[dc
安全帶傷	an[gn qr[rw dd[cj uh[rr
安全面切盤	an[gn qr[rw mm[ew qp[qd pj[vm
安全移液管	an[gn qr[rw yi[hx ye[dw gr[vg
安全因數	an[gn qr[rw yb[wd uu[mw
暗色核菌	an[ol se[db he[aw jy[cw
暗色絲孢黴病	an[ol se[db si[sh bc[zb mw[yr bk[bh
暗色無隔孢子	an[ol se[db wu[ee ge[eh bc[zb zi[lh
鞍上腦膜瘤	an[gg uh[bh nc[ow mo[oc lq[bp
暗視場顯微鏡	an[ol ui[uj ih[tv xm[oy ww[ru jk[jl
暗視蛋白	an[ol ui[uj dj[pi bd[po
暗視計	an[ol ui[uj ji[yu
暗視覺	an[ol ui[uj jt[xj
暗視野	an[ol ui[uj ye[oy
暗視野電子顯微術	an[ol ui[uj ye[oy dm[ov zi[lh xm[oy ww[ru uu[ad
暗視野顯微術	an[ol ui[uj ye[oy xm[oy ww[ru uu[ad
暗適應	an[ol ui[qz yk[gx
桉樹腦	an[ag uu[ay nc[ow
氨水燒傷	an[qg uv[uu uc[hq uh[rr
安絲菌素	an[gn si[sh jy[cw su[fy
氨酸	an[qg sr[ys
氨酸丙酮酸轉氨酶	an[qg sr[ys bk[hk ts[yk sr[ys vr[ie an[qg mw[yr
氨羧絡合劑	an[qg so[ys lo[sw he[rh ji[wd
氨肽酶	an[qg td[od mw[yr
氨肽酶氨茶鹼	an[qg td[od mw[yr an[qg ia[cr jm[ew
安泰酮	an[gn td[su ts[yk
安替比林	an[gn ti[eo bi[bb lb[aa
氨烷基亞磷酰胺	an[qg wj[hg ji[qt ya[hy lb[em xm[yn an[og
氨烷基吲哚	an[qg wj[hg ji[qt yb[kg do[kj
安慰誘導	an[gn ww[ux yz[yh dc[kc
安息香膠	an[gn xi[zx xl[ho jn[ol
安息香酸	an[gn xi[zx xl[ho sr[ys
氨酰	an[qg xm[yn
氨酰氨酰化	an[qg xm[yn an[qg xm[yn hx[rq
氨酰膽鹼	an[qg xm[yn dj[oo jm[ew
氨酰基	an[qg xm[yn ji[qt
氨酰基部位	an[qg xm[yn ji[qt bu[le ww[rl
氨酰基脯氨酸二肽酶	an[qg xm[yn ji[qt fu[of an[qg sr[ys er[hh td[od mw[yr
氨酰基合成酶	an[qg xm[yn ji[qt he[rh ig[wv mw[yr
氨酰基位	an[qg xm[yn ji[qt ww[rl
氨酰基腺苷酸酶	an[qg xm[yn ji[qt xm[ob gj[cg sr[ys mw[yr
氨酰肼	an[qg xm[yn jk[oe
氨酰賴氨酸二肽酶	an[qg xm[yn ld[hd an[qg sr[ys er[hh td[od mw[yr
氨酰磷脂酰甘油	an[qg xm[yn lb[em vi[ob xm[yn gj[nh yz[dy
氨酰腺苷酸	an[qg xm[yn xm[ob gj[cg sr[ys
氨酰酯酶	an[qg xm[yn vi[yb mw[yr
氨酰轉移	an[qg xm[yn vr[ie yi[hx
氨酰組氨酸二肽酶	an[qg xm[yn zu[sq an[qg sr[ys er[hh td[od mw[yr
暗型	an[ol xk[kt
暗修復	an[ol xq[ru fu[ro
胺氧化酶	an[og yh[qy hx[rq mw[yr
氨乙基	an[qg yi[vv ji[qt
氨乙基半胱氨酸	an[qg yi[vv ji[qt bj[bf gl[ox an[qg sr[ys
氨乙基硫醇	an[qg yi[vv ji[qt lq[ew iy[yw
氨乙基硫醇巰基	an[qg yi[vv ji[qt lq[ew iy[yw qq[sw ji[qt
氨乙基亞磺酸	an[qg yi[vv ji[qt ya[hy hl[eg sr[ys
鞍狀殼	an[gg vl[dq ke[ug
骯病毒蛋白	ah[ow bk[bh du[fm dj[pi bd[po
凹玻片	ao[uv bo[wp pm[pu
奧伯試驗	ao[pd bo[rb ui[yq yj[mr
螯刺	ao[fi ci[cd
澳大利亞抗原	ao[dp da[hr li[hd ya[hy kh[fw yr[ib
奧迪括約肌成形術	ao[pd di[yz ko[fq yt[sb ji[oj ig[wv xk[kp uu[ad
奧迪括約肌切開術	ao[pd di[yz ko[fq yt[sb ji[oj qp[qd kd[hc uu[ad
奧迪括約肌狹窄	ao[pd di[yz ko[fq yt[sb ji[oj xx[qj vd[xv
奧厄巴赫氏神經叢	ao[pd ee[ie ba[ku he[tt ui[pq uf[uo jk[ss cs[rh
奧爾布賴特綜合徵	ao[pd er[dx bu[uj ld[hd te[nt zs[sg he[rh vg[rh
奧爾德里奇綜合徵	ao[pd er[dx de[ru li[ot qi[dk zs[sg he[rh vg[rh
奧福二氏粘度計	ao[pd fu[uh er[hh ui[pq nm[mb du[gn ji[yu
螯合	ao[fi he[rh
螯合滴定	ao[fi he[rh di[dl dk[gp
螯合複合體	ao[fi he[rh fu[ro he[rh ti[ra
螯合環	ao[fi he[rh hr[wb
螯合劑	ao[fi he[rh ji[wd
螯合酶	ao[fi he[rh mw[yr
螯合物	ao[fi he[rh wu[nb
螯合作用	ao[fi he[rh zo[rv ys[ou
螯角	ao[fi jn[do
螯鞘	ao[fi qn[gx
凹入	ao[uv ru[pd
奧斯皮茨徵	ao[pd si[qj pi[vp ci[cd vg[rh
螯蝦	ao[fi xx[ix
螯下板	ao[fi xx[hb bj[ap
凹陷瘢痕	ao[uv xm[ed bj[bv hf[bg
凹陷口	ao[uv xm[ed kz[uv
螯肢	ao[fi vi[ou
澳洲茄邊鹼	ao[dp vz[dd qp[cl bm[lz jm[ew
澳洲茄鹼	ao[dp vz[dd qp[cl jm[ew
澳洲蛙皮肽	ao[dp vz[dd wa[it pi[vp td[od
螯足	ao[fi zu[kv
八孢型子囊孢子	ba[pd bc[zb xk[kt zi[lh nh[hk bc[zb zi[lh
八倍體	ba[pd bw[rl ti[ra
八倍性	ba[pd bw[rl xk[xp
巴比妥	ba[ku bi[bb to[an
巴比妥的商品名	ba[ku bi[bb to[an de[bb uh[lk pb[kk mk[xk
巴比妥類靜脈麻醉藥	ba[ku bi[bb to[an lw[md jk[fd md[od ma[ga zv[yw yc[cs
巴比妥鈉	ba[ku bi[bb to[an na[jk
巴比妥酸	ba[ku bi[bb to[an sr[ys
巴比妥酸鹽	ba[ku bi[bb to[an sr[ys yj[tm
靶標識別	ba[gb bn[ae ui[yk bp[kd
把釣鉺輕輕放進水裡	ba[fb dn[jb er[je qk[is qk[is fh[fw jb[ez uv[uu li[ot
八疊球菌	ba[pd dp[yq qq[wh jy[cw
巴豆毒蛋白	ba[ku dz[hk du[fm dj[pi bd[po
巴豆毒素	ba[ku dz[hk du[fm su[fy
巴豆酸	ba[ku dz[hk sr[ys
巴豆酸酶	ba[ku dz[hk sr[ys mw[yr
巴豆酰	ba[ku dz[hk xm[yn
巴豆酰輔酶	ba[ku dz[hk xm[yn fu[if mw[yr
巴多林氏管	ba[ku do[xx lb[aa ui[pq gr[vg
靶恩	ba[gb en[wx
巴爾比尼氏環	ba[ku er[dx bi[bb ni[ub ui[pq hr[wb
巴爾比亞尼環	ba[ku er[dx bi[bb ya[hy ni[ub hr[wb
巴爾比亞尼染色體	ba[ku er[dx bi[bb ya[hy ni[ub rj[da se[db ti[ra
巴爾得	ba[ku er[dx de[ro
巴二氏病毒	ba[ku er[hh ui[pq bk[bh du[fm
巴爾氏小體	ba[ku er[dx ui[pq xn[ub ti[ra
巴爾通體病	ba[ku er[dx ts[sz ti[ra bk[bh
巴爾小體	ba[ku er[dx xn[ub ti[ra
八放珊瑚亞綱	ba[pd fh[fw uj[wk hu[wg ya[hy gh[sk
八分體	ba[pd ff[bd ti[ra
巴基因	ba[ku ji[qt yb[wd
八甲基焦磷酰胺	ba[pd jx[ou ji[qt jn[vd lb[em xm[yn an[og
八角魚	ba[pd jn[do yu[dt
八聚體組蛋白	ba[pd ju[ep ti[ra zu[sq dj[pi bd[po
巴蘭斯徵	ba[ku lj[bs si[qj vg[rh
巴雷特食管	ba[ku lw[yt te[nt ui[rl gr[vg
巴黎酵母	ba[ku li[hr jn[yt mu[vv
靶理論	ba[gb li[wo ly[yr
巴黎紫	ba[ku li[hr zi[vy
巴龍黴素	ba[ku ls[yp mw[yr su[fy
