阿多諾	aa[ek do[xx no[yc
本心	bf[ah xb[dv
本原	bf[ah yr[ib
本質換出一般	bf[ah vi[pu hr[fd iu[ck yi[hh bj[vj
彼岸世界	bi[rp an[ui ui[nv jp[tr
畢達哥拉斯學派	bi[bu da[dz ge[kk la[fl si[qj xt[xz pd[dp
比德	bi[bb de[ru
辟穀	bi[ul gu[bk
壁觀	bi[ut gr[yj
必開心意	bi[xp kd[hc xb[dv yi[lx
比量	bi[bb ll[oh
必然王國	bi[xp rj[xd wh[su go[ww
必然性	bi[xp rj[xd xk[xp
彼是相因	bi[rp ui[op xl[am yb[wd
比相生	bi[bb xl[am ug[pf
彼亦一是非	bi[rp yi[wy yi[hh ui[op fw[su
蔽於一曲闇於大理	bi[cb yu[eu yi[hh qu[ou an[[ yu[eu da[hr li[wo
畢沅	bi[bu yr[de
裨灶	bi[yb zc[ht
辨對待	bm[ld dv[yc dd[rt
變非不變	bm[yy fw[su bu[eu bm[yy
變故易常	bm[yy gu[gw yi[ob ih[xk
變古愈盡	bm[yy gu[uk yu[rx jb[ud
辨合	bm[ld he[rh
變化氣質	bm[yy hx[rq qi[rh vi[pu
遍計所執性	bm[hz ji[yu so[pj vi[fj xk[xp
便民愈甚	bm[rh mb[kv yu[rx uf[qv
變器衛道	bm[yy qi[kq ww[eh dc[bz
辯說	bm[ly uo[yb
辯無勝	bm[ly wu[ee ug[op
辯者二十一事	bm[ly ve[to er[hh ui[hu yi[hh ui[hk
辯證否定觀	bm[ly vg[yh fz[bk dk[gp gr[yj
辯證唯物主義	bm[ly vg[yh ww[kv wu[nb vu[dw yi[di
表詮	bn[fy qr[yr
表現出	bn[fy xm[wj iu[ck
別材	bp[kd cd[ac
別名	bp[kd mk[xk
別趣	bp[kd qu[ze
別同異	bp[kd ts[kh yi[kc
別宥	bp[kd yz[gu
並稱為	bk[bk ig[hd ww[dl
冰炭不同器而久	bk[du tj[uu bu[eu ts[kh qi[kq er[ek jq[xd
博愛	bo[uf ai[au
博愛哲學	bo[uf ai[au ve[fk xt[xz
撥本塞源	bo[fv bf[ah sd[gt yr[di
伯恩施坦	bo[rb en[wx ui[fr tj[to
波菲利	bo[dp fw[cf li[hd
帛和	bo[bj he[hk
柏拉圖主義	bo[ab la[fl tu[ww vu[dw yi[di
波羅蜜	bo[dp lo[sx mi[gi
剝落物慾	bo[xd lo[cd wu[nb yu[bd
般若	bo[vj re[cu
般若無知	bo[vj re[cu wu[ee vi[uk
博通能用	bo[uf ts[sz ng[sb ys[ou
博文約禮	bo[uf wf[wi yt[sb li[uv
波昔東尼	bo[dp xi[go ds[qx ni[ub
博學篤志	bo[uf xt[xz du[vm vi[ux
伯陽父	bo[rb yh[eo fu[bi
伯陽甫	bo[rb yh[eo fu[uo
博約	bo[uf yt[sb
不必擔心	bu[eu bi[xp dj[fo xb[dv
不誠無物	bu[eu ig[yw wu[ee wu[nb
布袋和尚	bu[uj dd[ry he[hk uh[xk
不得經同	bu[eu de[ro jk[ss ts[kh
不動心	bu[eu ds[el xb[dv
不二	bu[eu er[hh
不二法門	bu[eu er[hh fa[dt mf[du
布哈林	bu[uj ha[kr lb[aa
不可使知之	bu[eu ke[dk ui[rh vi[uk vi[dv
不可知論	bu[eu ke[dk vi[uk ly[yr
不可知之事	bu[eu ke[dk vi[uk vi[dv ui[hk
不空	bu[eu ks[xg
布洛赫	bu[uj lo[dw he[tt
不平則鳴	bu[eu pk[hb ze[bd mk[kn
不譴是非以與世俗處	bu[eu qm[yv ui[op fw[su yi[sr yu[hv ui[nv su[rb iu[wb
不忍人之心	bu[eu rf[dx rf[pd vi[dv xb[dv
卜商	bu[ud uh[lk
卜筮	bu[ud ui[vg
不是而然	bu[eu ui[op er[ek rj[xd
不似之似	bu[eu si[rs vi[dv si[rs
不徒耳目	bu[eu tu[rz er[hu mu[we
不為而成	bu[eu ww[dl er[ek ig[wv
不行而知	bu[eu xk[rh er[ek vi[uk
不學未必為長夜	bu[eu xt[xz ww[ha bi[xp ww[dl vh[ph ye[wr
不依賴於	bu[eu yi[ry ld[hd yu[eu
不以人助天	bu[eu yi[sr rf[pd vu[ql tm[hd
不豫則廢	bu[eu yu[yd ze[bd fw[gv
不再存在	bu[eu zd[hk cy[uz zd[ut
不真空	bu[eu vf[uj ks[xg
不知廉恥	bu[eu vi[uk lm[gb ii[ev
不知所以因而自因	bu[eu vi[uk so[pj yi[sr yb[wd er[ek zi[pm yb[wd
不知亦能行	bu[eu vi[uk yi[wy ng[sb xk[rh
不知之知	bu[eu vi[uk vi[dv vi[uk
不知之知與不識之知	bu[eu vi[uk vi[dv vi[uk yu[hv bu[eu ui[yk vi[dv vi[uk
蔡墨	cd[cx mo[ht
才情	cd[hu qk[xf
蔡尚思	cd[cx uh[xk si[tx
蔡沈	cd[cx uf[dg
才性	cd[hu xk[xp
才性合	cd[hu xk[xp he[rh
才性離	cd[hu xk[xp li[wk
才性四本	cd[hu xk[xp si[we bf[ah
才性四本論	cd[hu xk[xp si[we bf[ah ly[yr
才性同	cd[hu xk[xp ts[kh
才性異	cd[hu xk[xp yi[kc
才性異同	cd[hu xk[xp yi[kc ts[kh
才性之辨	cd[hu xk[xp vi[dv bm[ld
才性之學	cd[hu xk[xp vi[dv xt[xz
蔡邕	cd[cx ys[vk
蔡元定	cd[cx yr[ee dk[gp
蔡元培	cd[cx yr[ee pw[tl
參兩	cj[sd ll[hk
參天兩地	cj[sd tm[hd ll[hk di[ty
參伍之道	cj[sd wu[rw vi[dv dc[bz
參驗	cj[sd yj[mr
倉廩實而知禮節	ch[re lb[gw ui[gd er[ek vi[uk li[uv jp[ce
曹褒	cc[ho bc[wr
曹端	cc[ho dr[lu
操術	cc[fk uu[ad
曹思文	cc[ho si[tx wf[wi
曹植	cc[ho vi[au
側隱之心	ce[rb yb[ed vi[dv xb[dv
曾琦	cg[bo qi[wd
察類	ia[gx lw[md
剎那	ia[id na[ve
察身以知天	ia[gx uf[pu yi[sr vi[uk tm[hd
察識端倪	ia[gx ui[yk dr[lu ni[rj
禪定	ij[ub dk[gp
禪機	ij[ub ji[aj
產生矛盾	ij[lp ug[pf mc[yp dy[pu
闡提	ij[mb ti[fo
纏子	ij[sg zi[lh
禪宗美學	ij[ub zs[ge mw[bw xt[xz
昌必有衰	ih[oo bi[xp yz[uo uk[wk
常變	ih[xk bm[yy
長春真人	ih[ph iy[so vf[uj rf[pd
常道	ih[xk dc[bz
常德	ih[xk de[ru
長沮	ih[ph ju[dq
常名	ih[xk mk[xk
常權	ih[xk qr[ay
常統常變	ih[xk ts[sw ih[xk bm[yy
常無有	ih[xk wu[ee yz[uo
朝徹	ic[uo ie[rq
晁錯	ic[ov co[jg
陳白沙	if[eq bd[po ua[dx
陳熾	if[eq ii[hk
陳淳	if[eq iy[dw
陳獨秀	if[eq du[qi xq[hn
陳傅良	if[eq fu[rf ll[dg
陳鼓應	if[eq gu[uu yk[gx
陳煥章	if[eq hr[hd vh[lo
陳榥	if[eq hl[[
陳家康	if[eq jx[gu kh[gx
陳建	if[eq jm[yj
塵芥六合	if[xt jp[cr lu[wb he[rh
陳景元	if[eq jk[ow yr[ee
陳九川	if[eq jq[pv ir[pu
陳澧	if[eq li[dq
陳立	if[eq li[lh
陳立夫	if[eq li[lh fu[er
陳亮	if[eq ll[wj
陳龍川	if[eq ls[yp ir[pu
陳駢	if[eq pm[mb
陳啟天	if[eq qi[hk tm[hd
陳虯	if[eq qq[iv
陳銓	if[eq qr[jr
陳確	if[eq qt[ed
陳榮捷	if[eq rs[ca jp[fh
沉思冥想	if[dg si[tx mk[go xl[ax
陳天華	if[eq tm[hd hx[ru
陳同甫	if[eq ts[kh fu[uo
陳摶	if[eq tr[fe
讖緯	if[yr ww[sw
陳唯實	if[eq ww[kv ui[gd
陳獻章	if[eq xm[uq vh[lo
陳祥道	if[eq xl[uy dc[bz
陳櫻寧	if[eq yk[ab nk[gd
陳元暉	if[eq yr[ee hv[og
陳仲	if[eq vs[rv
陳朱之辯	if[eq vu[ph vi[dv bm[ly
程端禮	ig[hk dr[lu li[uv
程端蒙	ig[hk dr[lu mg[ch
懲忿窒欲	ig[rx ff[fx vi[xh yu[bd
承負	ig[lu fu[db
成公綏	ig[wv gs[bs sv[sa
澄觀	ig[dd gr[yj
程顥	ig[hk hc[oy
澄懷味象	ig[dd hk[xb ww[kh xl[dk
成極	ig[wv ji[aj
成己成物	ig[wv ji[kv ig[wv wu[nb
程門立雪	ig[hk mf[du li[lh xt[yx
誠明	ig[yw mk[oo
程明道	ig[hk mk[oo dc[bz
成天地者氣也	ig[wv tm[hd di[ty ve[to qi[rh ye[vu
程廷祚	ig[hk tk[qj zo[uv
乘物遊心	ig[qb wu[nb yz[df xb[dv
成心	ig[wv xb[dv
成玄英	ig[wv xr[wy yk[ck
程瑤田	ig[hk yc[wa tm[wu
誠意	ig[yw yi[lx
程頤	ig[hk yi[ky
程伊川	ig[hk yi[rx ir[pu
成於樂	ig[wv yu[eu le[px
成中英	ig[wv vs[ku yk[ck
尺棰不盡	ii[ud iv[ai bu[eu jb[ud
持戒	ii[ft jp[gc
崇本息末	is[ug bf[ah xi[zx mo[ha
崇本抑末	is[ug bf[ah yi[fp mo[ha
沖決網羅	is[dv jt[dv wh[ki lo[sx
充滿瑕疵	is[we mj[dc xx[wk ci[bv
衝氣	is[dv qi[rh
崇尚知識	is[ug uh[xk vi[uk ui[yk
蹱事增華	is[[ ui[hk zg[tb hx[ru
充實之美	is[we ui[gd vi[dv mw[bw
崇有	is[ug yz[uo
處靜	iu[wb jk[fd
楚狂接輿	iu[ap kl[qw jp[fl yu[pb
觸類是道	iu[di lw[md ui[op dc[bz
出世間	iu[ck ui[nv jm[mo
儲泳	iu[ry ys[dd
傳神	ir[re uf[uo
傳神記	ir[re uf[uo ji[yk
創造的科學	il[rd zc[nz de[bb ke[hd xt[xz
純客觀法	iy[st ke[gw gr[yj fa[dt
純思維	iy[st si[tx ww[sv
慈悲	ci[bx bw[fx
雌節	ci[vv jp[ce
辭讓之心	ci[ql rh[yu vi[dv xb[dv
雌雄剛柔之辨	ci[vv xs[uv gh[kd rz[ya vi[dv bm[ld
此亦一是非	ci[vb yi[wy yi[hh ui[op fw[su
猝然念得	cu[qw rj[xd nm[rx de[ro
崔浩	cv[uv hc[dn
崔憬	cv[uv jk[xo
粹靈之氣	cv[mw lk[xh vi[dv qi[rh
崔適	cv[uv ui[qz
崔寔	cv[uv ui[[
崔述	cv[uv uu[az
存神	cy[uz uf[uo
存思	cy[uz si[tx
存天理	cy[uz tm[hd li[wo
存想	cy[uz xl[ax
存心	cy[uz xb[dv
存疑主義	cy[uz yi[bs vu[dw yi[di
大辯	da[hr bm[ly
大別名	da[hr bp[kd mk[xk
大膽假設小心求證	da[hr dj[oo jx[rk ue[yj xn[ub xb[dv qq[hu vg[yh
達道	da[dz dc[bz
大盜不止	da[hr dc[dm bu[eu vi[uh
打倒孔家店	da[fd dc[rh ks[zv jx[gu dm[gb
達德	da[dz de[ru
大動力	da[hr ds[el li[vp
大共名	da[hr gs[gb mk[xk
大故	da[hr gu[gw
大九州說	da[hr jq[pv vz[dp uo[yb
大理	da[hr li[wo
達理明義	da[dz li[wo mk[oo yi[di
大美	da[hr mw[bw
達名	da[dz mk[xk
達摩	da[dz mo[gf
大貧小貧說	da[hr pb[fb xn[ub pb[fb uo[yb
大巧	da[hr qn[gk
大清明	da[hr qk[df mk[oo
達生	da[dz ug[pf
達視洞聽	da[dz ui[uj ds[dk tk[kj
大體	da[hr ti[ra
大同	da[hr ts[kh
大同異	da[hr ts[kh yi[kc
大小戴	da[hr xn[ub dd[tt
大小俱足	da[hr xn[ub ju[rj zu[kv
大小夏侯	da[hr xn[ub xx[ew hz[rv
大心	da[hr xb[dv
大衍義	da[hr yj[rd yi[di
大衍之數	da[hr yj[rd vi[dv uu[mw
大一統	da[hr yi[hh ts[sw
大音	da[hr yb[lo
大用流行	da[hr ys[ou lq[dw xk[rh
大丈夫	da[hr vh[hi fu[er
大知大覺	da[hr vi[uk da[hr jn[xj
大中之道	da[hr vs[ku vi[dv dc[bz
戴奧真尼斯	dd[tt ao[pd vf[uj ni[ub si[qj
代表人物	dd[rq bn[fy rf[pd wu[nb
戴德	dd[tt de[ru
戴東原	dd[tt ds[qx yr[ib
戴季陶	dd[tt ji[hz tc[eb
戴逵	dd[tt kv[tz
戴聖	dd[tt ug[yt
戴望	dd[tt wh[ww
戴震	dd[tt vf[yi
單名與兼名	dj[bo mk[xk yu[hv jm[bh mk[xk
丹書	dj[kw uu[vv
擔水砍柴無非妙道	dj[fo uv[uu kj[ed id[va wu[ee fw[su mn[nx dc[bz
當然	dh[xx rj[xd
道安	dc[bz an[gn
道本器末	dc[bz bf[ah qi[kq mo[ha
道不可變	dc[bz bu[eu ke[dk bm[yy
道綽	dc[bz io[sb
道德革命	dc[bz de[ru ge[nk mk[rh
道德天尊	dc[bz de[ru tm[hd zy[bc
道德完善	dc[bz de[ru wj[ge uj[yk
道德修養	dc[bz de[ru xq[ru yh[yp
道德原則	dc[bz de[ru yr[ib ze[bd
道德哲學	dc[bz de[ru ve[fk xt[xz
道法	dc[bz fa[dt
道法自然	dc[bz fa[dt zi[pm rj[xd
道紀	dc[bz ji[sk
道即是藝	dc[bz ji[ge ui[op yi[cv
道稽萬理	dc[bz ji[hy wj[hv li[wo
倒見	dc[rh jm[ke
道理	dc[bz li[wo
道理相應	dc[bz li[wo xl[am yk[gx
道器	dc[bz qi[kq
道生	dc[bz ug[pf
道生頓悟義	dc[bz ug[pf dy[ty wu[xw yi[di
道生法	dc[bz ug[pf fa[dt
道術	dc[bz uu[ad
道樞	dc[bz uu[ak
道體器用	dc[bz ti[ra qi[kq ys[ou
道統說	dc[bz ts[sw uo[yb
道心	dc[bz xb[dv
道宣	dc[bz xr[gh
道一	dc[bz yi[hh
盜亦有道	dc[dm yi[wy yz[uo dc[bz
導引	dc[kc yb[gu
道在物中	dc[bz zd[ut wu[nb vs[ku
德本財末	de[ru bf[ah cd[bc mo[ha
得本知末	de[ro bf[ah vi[uk mo[ha
德操	de[ru cc[fk
德勒斯	de[ru le[gl si[qj
德力	de[ru li[vp
德里達	de[ru li[ot da[dz
德謨克利特	de[ru mo[yc ke[ge li[hd te[nt
德虐相成	de[ru nt[hk xl[am ig[wv
德清	de[ru qk[df
德先生	de[ru xm[ne ug[pf
得象忘言	de[ro xl[dk wh[wx yj[we
德行	de[ru xk[rh
德性之知	de[ru xk[xp vi[dv vi[uk
得意忘象	de[ro yi[lx wh[wx xl[dk
德治	de[ru vi[ds
德智主義	de[ru vi[uo vu[dw yi[di
登高必自卑	dg[dd gc[wk bi[xp zi[pm bw[bu
鄧陵氏	dg[ye lk[et ui[pq
鄧陵子	dg[ye lk[et zi[lh
鄧牧	dg[ye mu[nw
鄧析	dg[ye xi[aj
鄧析子	dg[ye xi[aj zi[lh
鄧顯鶴	dg[ye xm[oy he[gn
鄧演達	dg[ye yj[dg da[dz
鄧以蟄	dg[ye yi[sr ve[fi
狄奧根尼	di[qh ao[pd gf[ag ni[ub
迪奧吉尼士	di[yz ao[pd ji[uk ni[ub ui[uh
地道	di[ty dc[bz
狄德羅	di[qh de[ru lo[sx
第歐根尼	di[vg ou[kd gf[ag ni[ub
敵我分明	di[qw wo[pf ff[bd mk[oo
第一哲學	di[vg yi[hh ve[fk xt[xz
地有常數	di[ty yz[uo ih[xk uu[mw
地中海沿岸	di[ty vs[ku hd[dr yj[dj an[ui
電氣	dm[ov qi[rh
丁福保	dk[hu fu[uh bc[rk
定慧	dk[gp hv[fx
定名與虛位	dk[gp mk[xk yu[hv xu[hy ww[rl
丁文江	dk[hu wf[wi jl[dg
丁子有尾	dk[hu zi[lh yz[uo ww[um
動必有機	ds[el bi[xp yz[uo ji[aj
動的邏輯	ds[el de[bb lo[sz ji[ik
動的文明	ds[el de[bb wf[wi mk[oo
東方神祕主義	ds[qx fh[dw uf[uo mi[hx vu[dw yi[di
動非自外	ds[el fw[su zi[pm wd[xb
動靜互涵	ds[el jk[fd hu[hv hj[dl
動靜皆動	ds[el jk[fd jp[bb ds[el
董無心	ds[cp wu[ee xb[dv
東西文化論戰	ds[qx xi[hk wf[wi hx[rq ly[yr vj[bg
動心忍性	ds[el xb[dv rf[dx xk[xp
動則成昏	ds[el ze[bd ig[wv hy[uo
董仲舒	ds[cp vs[rv uu[ry
鬥爭性	dz[du vg[dx xk[xp
杜弼	du[at bi[ge
杜光庭	du[at gl[xe tk[gq
杜國庠	du[at go[ww xl[gy
獨化	du[qi hx[rq
獨化於玄冥之境	du[qi hx[rq yu[eu xr[wy mk[go vi[dv jk[tl
獨立存在	du[qi li[lh cy[uz zd[ut
杜林	du[at lb[aa
獨生而無所資借	du[qi ug[pf er[ek wu[ee so[pj zi[db jp[rg
杜守素	du[at uz[gc su[fy
杜順	du[at uy[iy
獨頭無明	du[qi tz[dd wu[ee mk[oo
獨頭意識	du[qi tz[dd yi[lx ui[yk
杜武庫	du[at wu[hv ku[gi
獨心	du[qi xb[dv
獨性	du[qi xk[xp
篤行	du[vm xk[rh
獨知獨覺	du[qi vi[uk du[qi jt[xj
端木賜	dr[lu mu[ub ci[bo
對待	dv[yc dd[rt
對奪	dv[yc do[dc
對戡法	dv[yc kj[qg fa[dt
對抗性矛盾	dv[yc kh[fw xk[xp mc[yp dy[pu
對立起來	dv[yc li[lh qi[zk ld[hm
對立統一	dv[yc li[lh ts[sw yi[hh
對生	dv[yc ug[pf
對物	dv[yc wu[nb
對應詞彙	dv[yc yk[gx ci[yv hv[dk
對爭	dv[yc vg[dx
頓超直悟	dy[ty ic[zd vi[uj wu[xw
鈍根	dy[jt gf[ag
頓漸之爭	dy[ty jm[di vi[dv vg[dx
遁天背情	dy[pz tm[hd bw[bo qk[xf
頓悟	dy[ty wu[xw
多元認識論	do[xx yr[ee rf[yr ui[yk ly[yr
多中一	do[xx vs[ku yi[hh
鵝湖之會	ee[pn hu[dg vi[dv hv[re
恩培多克勒	en[wx pw[tl do[xx ke[ge le[gl
二柄	er[hh bk[ah
二諦	er[hh di[yl
二而一	er[hh er[ek yi[hh
耳目之官	er[hu mu[we vi[dv gr[gu
耳目之實	er[hu mu[we vi[dv ui[gd
兒說	er[[ uo[yb
二無一	er[hh wu[ee yi[hh
而指非指	er[ek vi[fb fw[su vi[fb
法度	fa[dt du[gn
法后王	fa[dt hz[pk wh[su
法界	fa[dt jp[tr
法界緣起	fa[dt jp[tr yr[sv qi[zk
法琳	fa[dt lb[wa
法律篇	fa[dt lv[ry pm[vh
法生於義	fa[dt ug[pf yu[eu yi[di
法式	fa[dt ui[qg
法術勢	fa[dt uu[ad ui[fl
法順	fa[dt uy[iy
法天貴真	fa[dt tm[hd gv[vb vf[uj
法統	fa[dt ts[sw
法顯	fa[dt xm[oy
法先王	fa[dt xm[ne wh[su
發現真理	fa[vy xm[wj vf[uj li[wo
法象	fa[dt xl[dk
法相	fa[dt xl[am
法性	fa[dt xk[xp
法演	fa[dt yj[dg
法眼	fa[dt yj[mg
法藏	fa[dt zh[cw
發展哲學	fa[vy vj[ug ve[fk xt[xz
法哲學	fa[dt ve[fk xt[xz
法執	fa[dt vi[fj
泛愛萬物	fj[dp ai[au wj[hv wu[nb
反本	fj[py bf[ah
樊遲	fj[ad ii[uz
範疇	fj[cd iz[tf
犯而不校	fj[qe er[ek bu[eu jn[al
反覆	fj[py fu[ro
反覆問答	fj[py fu[ro wf[mk da[vr
反觀	fj[py gr[yj
泛架構主義	fj[dp jx[la gz[ab vu[dw yi[di
反經行權	fj[py jk[ss xk[rh qr[ay
范蠡	fj[cd li[vi
煩惱障	fj[hy nc[xw vh[el
反求諸己	fj[py qq[hu vu[yt ji[kv
反求自識	fj[py qq[hu zi[pm ui[yk
反身而誠	fj[py uf[pu er[ek ig[yw
範壽康	fj[cd uz[fc kh[gx
范文瀾	fj[cd wf[wi lj[dm
凡物必合	fj[jd wu[nb bi[xp he[rh
樊須	fj[ad xu[py
樊遜	fj[ad xy[zz
反衍	fj[py yj[rd
反因	fj[py yb[wd
反映論	fj[py yk[ok ly[yr
反者道之動	fj[py ve[to dc[bz vi[dv ds[el
範縝	fj[cd vf[su
范仲淹	fj[cd vs[rv yj[dd
方苞	fh[dw bc[cb
方便	fh[dw bm[rh
放達	fh[fw da[dz
方東美	fh[dw ds[qx mw[bw
方東樹	fh[dw ds[qx uu[ay
方會	fh[dw hv[re
方術	fh[dw uu[ad
防微杜漸	fh[ef ww[ru du[at jm[di
方孝孺	fh[dw xn[tz ru[zy
方以智	fh[dw yi[sr vi[uo
方植之	fh[dw vi[au vi[dv
非常激烈	fw[su ih[xk ji[db lp[hd
非道弘人	fw[su dc[bz hs[gs rf[pd
斐德羅篇篇	fw[fw de[ru lo[sx pm[vh pm[vh
斐多篇	fw[fw do[xx pm[vh
費爾巴哈	fw[fb er[dx ba[ku ha[kr
非攻	fw[su gs[gw
非樂	fw[su le[px
斐利布斯篇	fw[fw li[hd bu[uj si[qj pm[vh
菲力帕斯篇	fw[cf li[vp pa[jb si[qj pm[vh
非量	fw[su ll[oh
菲羅索菲亞	fw[cf lo[sx so[uy fw[cf ya[hy
費密	fw[fb mi[gu
非命	fw[su mk[rh
非命尚力	fw[su mk[rh uh[xk li[vp
飛鳥之景未嘗動	fw[vp nn[nh vi[dv jk[ow ww[ha ih[xe ds[el
非耦	fw[su ou[lo
非氣質無以見性	fw[su qi[rh vi[pu wu[ee yi[sr jm[ke xk[xp
廢然之靜	fw[gv rj[xd vi[dv jk[fd
非人者必有以易之	fw[su rf[pd ve[to bi[xp yz[uo yi[sr yi[ob vi[dv
飛昇	fw[vp ug[pc
非聖無法	fw[su ug[yt wu[ee fa[dt
非湯武而薄周孔	fw[su th[dv wu[hv er[ek bo[cd vz[kt ks[zv
非以其名也	fw[su yi[sr qi[cb mk[xk ye[vu
費直	fw[fb vi[uj
非宗教精神	fw[su zs[ge jn[tw jk[mf uf[uo
分理	ff[bd li[wo
分命	ff[bd mk[rh
憤世嫉俗	ff[xu ui[nv ji[nb su[rb
分知分行	ff[bd vi[uk ff[bd hh[rh
奉常處變	fg[sf ih[xk iu[wb bm[yy
馮定	fg[dm dk[gp
風骨	fg[ji gu[ko
馮桂芬	fg[dm gv[at ff[cf
風教	fg[ji jn[tw
馮契	fg[dm qi[fd
奉天法古	fg[sf tm[hd fa[dt gu[uk
馮文潛	fg[dm wf[wi qm[de
馮友蘭	fg[dm yz[uy lj[bs
佛法	fo[rf fa[dt
佛性	fo[rf xk[xp
拂塵看淨	fu[ff if[xt kj[fm jk[dd
傅嘏	fu[rf gu[gk
富貴在錢	fu[gh gv[vb zd[ut qm[jj
富貴在天	fu[gh gv[vb zd[ut tm[hd
傅立葉	fu[rf li[lh ye[ku
符籙	fu[vr lu[vx
負面	fu[db mm[ew
覆命	fu[ro mk[rh
符命	fu[vr mk[rh
傅青主	fu[rf qk[fo vu[dw
符瑞	fu[vr rv[wu
傅山	fu[rf uj[uk
伏勝	fu[rq ug[op
伏生	fu[rq ug[pf
服食	fu[oe ui[rl
符書	fu[vr uu[vv
傅斯年	fu[rf si[qj nm[rn
傅偉勳	fu[rf ww[rw xy[kl
復性	fu[ro xk[xp
傅玄	fu[rf xr[wy
符驗	fu[vr yj[mr
傅奕	fu[rf yi[yd
負陰而抱陽	fu[db yb[eo er[ek bc[fb yh[eo
付之天均	fu[rc vi[dv tm[hd jy[tb
蓋公	gd[bm gs[bs
改過遷善	gd[kw go[cz qm[qz uj[yk
概念	gd[ag nm[rx
概念範疇	gd[ag nm[rx fj[cd iz[tf
蓋天說	gd[bm tm[hd uo[yb
概要觀點	gd[ag yc[xn gr[yj dm[bd
改正朔	gd[kw vg[hv uo[no
感觀	gj[wx gr[yj
幹吉	gj[hu ji[uk
感覺和理性	gj[wx jt[xj he[hk li[wo xk[xp
感覺靈敏	gj[wx jt[xj lk[xh mb[rw
幹室	gj[hu ui[gh
感相	gj[wx xl[am
感興	gj[wx xk[xb
感性認識	gj[wx xk[xp rf[yr ui[yk
