安期生	an[gn qi[qo ug[pf
閣皁宗	ge[mw zc[bq zs[ge
艮為山	gf[xv ww[dl uj[uk
庚辰	gg[gx if[ie
庚申	gg[gx uf[ou
庚午	gg[gx wu[ru
庚戌	gg[gx xu[wh
庚寅	gg[gx yb[gh
庚子	gg[gx zi[lh
公沙穆	gs[bs ua[dx mu[hb
公孫卿	gs[bs sy[zx qk[pg
勾陳南極大帝	gz[bs if[eq nj[uk ji[aj da[hr di[lj
勾陳上宮天皇大帝	gz[bs if[eq uh[bh gs[gk tm[hd hl[bw da[hr di[lj
勾漏洞	gz[bs lz[du ds[dk
姑布子卿	gu[ng bu[uj zi[lh qk[pg
顧歡	gu[iy hr[yd
穀神	gu[bk uf[uo
古微書	gu[uk ww[ru uu[vv
古文龍虎上經	gu[uk wf[wi ls[yp hu[hj uh[bh jk[ss
管公明卜要訣	gr[vg gs[bs mk[oo bu[ud yc[xn jt[yv
管歸真	gr[vg gv[ux vf[uj
關聖帝君	gr[bt ug[yt di[lj jy[xk
關尹	gr[bt yb[xp
關尹子	gr[bt yb[xp zi[lh
廣成子	gl[di ig[wv zi[lh
廣成子解	gl[di ig[wv zi[lh jp[dd
廣澤尊王	gl[di ze[dy zy[bc wh[su
癸丑	gv[dt iz[vu
鬼谷先生	gv[be gu[bk xm[ne ug[pf
癸亥	gv[dt hd[wp
癸卯	gv[dt mc[pe
鬼容區	gv[be rs[xr qu[ki
貴柔	gv[vb rz[ya
龜蛇二將	gv[do ue[ig er[hh jl[dx
癸巳	gv[dt si[kv
癸未	gv[dt ww[ha
鬼仙	gv[be xm[ru
癸酉	gv[dt yz[xh
果老星宗	go[oa lc[tb xk[op zs[ge
郭休	go[we xq[ra
亥牝	hd[wp pb[nb
撼龍經	hj[fw ls[yp jk[ss
漢天師世家	hj[dy tm[hd ui[uh ui[nv jx[gu
韓顯符	hj[uw xm[oy fu[vr
韓湘子	hj[uw xl[da zi[lh
漢鍾離	hj[dy vs[jv li[wk
郝大通	hc[te da[hr ts[sz
郝孟節	hc[te mg[zm jp[ce
河車	he[dk ie[qu
河車初動	he[dk ie[qu iu[yd ds[el
和合四象	he[hk he[rh si[we xl[dk
何九師	he[rk jq[pv ui[uh
賀蘭棲真	he[lb lj[bs qi[ax vf[uj
鶴鳴山	he[gn mk[kn uj[uk
河上公	he[dk uh[bh gs[bs
何仙姑	he[rk xm[ru gu[ng
鴻寶枕中書	hs[dn bc[gw vf[ag vs[ku uu[vv
鴻鈞道人	hs[dn jy[jb dc[bz rf[pd
鴻濛	hs[dn mg[dc
洪崖先生	hs[dg ya[ui xm[ne ug[pf
后土	hz[pk tu[uh
喉息	hz[kr xi[zx
護法四元帥	hu[fh fa[dt si[we yr[ee uk[uj
胡孚琛	hu[go fu[az if[wg
狐剛子	hu[qp gh[kd zi[lh
壺公	hu[uy gs[bs
呼子先	hu[kp zi[lh xm[ne
華光大帝	hx[ru gl[xe da[hr di[lj
華山派	hx[ru uj[uk pd[dp
淮南鴻寶萬畢	hk[dv nj[uk hs[dn bc[gw wj[hv bi[bu
淮南子	hk[dv nj[uk zi[lh
還丹覆命篇	hr[bz dj[kw fu[ro mk[rh pm[vh
還原篇	hr[bz yr[ib pm[vh
黃白朮	hl[gy bd[po uu[ad
黃大仙	hl[gy da[hr xm[ru
黃帝長柳占夢	hl[gy di[lj ih[ph lq[ap vj[bk mg[ax
黃帝九鼎神丹經訣	hl[gy di[lj jq[pv dk[mv uf[uo dj[kw jk[ss jt[yv
皇帝陰符經	hl[bw di[lj yb[eo fu[vr jk[ss
黃帝陰符經疏	hl[gy di[lj yb[eo fu[vr jk[ss uu[pw
皇甫玉	hl[bw fu[uo yu[wd
皇極經世書	hl[bw ji[aj jk[ss ui[nv uu[vv
黃老道	hl[gy lc[tb dc[bz
黃籙齋	hl[gy lu[vx vd[we
黃石公	hl[gy ui[ek gs[bs
黃守中	hl[gy uz[gc vs[ku
黃庭遁甲緣身經	hl[gy tk[gq dy[pz jx[ou yr[sv uf[pu jk[ss
黃庭經	hl[gy tk[gq jk[ss
黃庭內景經	hl[gy tk[gq nw[kr jk[ow jk[ss
黃萬戶	hl[gy wj[hv hu[du
黃芽	hl[gy ya[cy
黃元吉	hl[gy yr[ee ji[uk
混洞太無元	hy[do ds[dk td[dd wu[ee yr[ee
混俗和光	hy[do su[rb he[hk gl[xe
混俗頤生錄	hy[do su[rb yi[ky ug[pf lu[xu
混元聖紀	hy[do yr[ee ug[yt ji[sk
火地晉	ho[dp di[ty jb[ho
火記	ho[dp ji[yk
火居	ho[dp ju[ug
火雷噬磕	ho[dp lw[yt ui[kv ke[et
火山旅	ho[dp uj[uk lv[fr
火水未濟	ho[dp uv[uu ww[ha ji[dw
火天大有	ho[dp tm[hd da[hr yz[uo
火澤睽	ho[dp ze[dy kv[md
火珠林	ho[dp vu[wp lb[aa
活子時	ho[dq zi[lh ui[oc
己丑	ji[kv iz[vu
濟度齋	ji[dw du[gn vd[we
己亥	ji[kv hd[wp
己卯	ji[kv mc[pe
紀夢要覽	ji[sk mg[ax yc[xn lj[uj
己巳	ji[kv si[kv
寄胎母氏	ji[gd td[os mu[vv ui[pq
己未	ji[kv ww[ha
濟一子道書	ji[dw yi[hh zi[lh dc[bz uu[vv
己酉	ji[kv yz[xh
甲辰	jx[ou if[ie
夾脊	jx[hb ji[uo
甲申	jx[ou uf[ou
甲午	jx[ou wu[ru
甲戌	jx[ou xu[wh
甲寅	jx[ou yb[gh
甲子	jx[ou zi[lh
間丘方遠	jm[mo qq[jh fh[dw yr[ez
劍仙	jm[rd xm[ru
姜撫	jl[bn fu[fe
絳宮	jl[sw gs[gk
蔣子文	jl[cd zi[lh wf[wi
交梨火棗	jn[li li[ha ho[dp zc[cd
交泰	jn[li td[su
焦延壽	jn[vd yj[pj uz[fc
結化含秀	jp[su hx[rq hj[rk xq[hn
節食齋	jp[ce ui[rl vd[we
介象	jp[rp xl[dk
金丹大要	jb[rw dj[kw da[hr yc[xn
金丹要訣	jb[rw dj[kw yc[xn jt[yv
金鼎	jb[rw dk[mv
金蓮正宗記	jb[rw lm[ci vg[hv zs[ge ji[yk
金梁鳳	jb[rw ll[da fg[jy
金籙齋	jb[rw lu[vx vd[we
金山派	jb[rw uj[uk pd[dp
禁神	jb[ae uf[uo
金鎖流珠引	jb[rw so[jx lq[dw vu[wp yb[gu
金液還丹	jb[rw ye[dw hr[bz dj[kw
金映流真	jb[rw yk[ok lq[dw vf[uj
京房易飛候	jk[wk fh[hf yi[ob fw[vp hz[ru
京房易妖佔	jk[wk fh[hf yi[ob yc[np vj[bk
京房易傳	jk[wk fh[hf yi[ob vr[re
淨明道	jk[dd mk[oo dc[bz
經師	jk[ss ui[uh
經主	jk[ss vu[dw
九鼎丹法	jq[pv dk[mv dj[kw fa[dt
九宮	jq[pv gs[gk
九宮真人	jq[pv gs[gk vf[uj rf[pd
九還	jq[pv hd[bz
九慶之紫煙	jq[pv qk[gd vi[dv zi[vy yj[hw
九聖	jq[pv ug[yt
九食法	jq[pv ui[rl fa[dt
九守	jq[pv uz[gc
九天九地	jq[pv tm[hd jq[pv di[ty
九天玄妙課	jq[pv tm[hd xr[wy mn[nx ke[yo
九天玄女	jq[pv tm[hd xr[wy nv[vp
九天應元雷聲普化天尊	jq[pv tm[hd yk[gx yr[ee lw[yt ug[um pu[bo hx[rq tm[hd zy[bc
九仙	jq[pv xm[ru
九霄萬福宮	jq[pv xn[yx wj[hv fu[uh gs[gk
九星穴法	jq[pv xk[op xt[gb fa[dt
九真	jq[pv vf[uj
九轉金丹	jq[pv vr[ie jb[rw dj[kw
軍佔雜事	jy[gi vj[bk za[ja ui[hk
開元道藏	kd[hc yr[ee dc[bz zh[cw
開漳聖王	kd[hc vh[dl ug[yt wh[su
坎離	kj[td li[wk
坎離顛倒	kj[td li[wk dm[uy dc[rh
坎離交媾	kj[td li[wk jn[li gz[ng
坎為水	kj[td ww[dl uv[uu
坎中起火	kj[td vs[ku qi[zk ho[dp
亢倉子	kh[wj ch[re zi[lh
寇謙之	kz[ge qm[yb vi[dv
匡裕	kl[kw yu[yb
魁星	kv[gd xk[op
坤為地	ky[to ww[dl di[ty
來和	ld[hm he[hk
蘭採和	lj[bs cd[aa he[hk
老聃	lc[tb dj[ek
老君臺陳摶手書	lc[tb jy[xk td[sk if[eq tr[fe uz[su uu[vv
老君五戒	lc[tb jy[xk wu[hu jp[gc
老君音誦誡經	lc[tb jy[xk yb[lo ss[ys jp[yg jk[ss
嶗山太清宮	lc[uc uj[uk td[dd qk[df gs[gk
老子成玄英疏	lc[tb zi[lh ig[wv xr[wy yk[ck uu[pw
老子化胡經	lc[tb zi[lh hx[rq hu[go jk[ss
老子李榮注	lc[tb zi[lh li[az rs[ca vu[dd
老子想爾注	lc[tb zi[lh xl[ax er[dx vu[dd
樂育堂語錄	le[px yu[wo th[xt yu[yw lu[xu
雷地豫	lw[yt di[ty yu[yd
雷風恆	lw[yt fg[ji hg[xh
雷火豐	lw[yt ho[dp fg[su
雷山小過	lw[yt uj[uk xn[ub go[cz
雷水解	lw[yt uv[uu jp[dd
雷思齊	lw[yt si[tx qi[wp
雷天大壯	lw[yt tm[hd da[hr vl[du
雷澤歸妹	lw[yt ze[dy gv[ux mw[nh
冷壽光	lg[dr uz[fc gl[xe
李炳通	li[az bk[hh ts[sz
歷代神仙通鑑	li[il dd[rq uf[uo xm[ru ts[sz jm[uj
李道純	li[az dc[bz iy[st
李道謙	li[az dc[bz qm[yb
李含光	li[az hj[rk gl[xe
李漢軍	li[az hj[dy jy[gi
李涵虛	li[az hj[dl xu[hy
李合	li[az he[rh
李弘	li[az hs[gs
李家道	li[az jx[gu dc[bz
李筌	li[az qr[vr
李榮	li[az rs[ca
驪山老母	li[mh uj[uk lc[tb mu[vv
李少翁	li[az uc[xp wg[bx
歷世真仙體道通鑑	li[il ui[nv vf[uj xm[ru ti[ra dc[bz ts[sz jm[uj
李鐵柺	li[az tp[jp gk[fk
離為火	li[wk ww[dl ho[dp
李虛中	li[az xu[hy vs[ku
李虛中命書	li[az xu[hy vs[ku mk[rh uu[vv
李志常	li[az vi[ux ih[xk
煉丹	lm[hq dj[kw
煉己築基	lm[hq ji[kv vu[vg ji[qt
煉精化氣	lm[hq jk[mf hx[rq qi[rh
煉精化炁	lm[hq jk[mf hx[rq qi[[
煉氣	lm[hq qi[rh
煉氣化神	lm[hq qi[rh hx[rq uf[uo
煉炁化神	lm[hq qi[[ hx[rq uf[uo
煉神返虛	lm[hq uf[uo fj[pz xu[hy
煉神還虛	lm[hq uf[uo hd[bz xu[hy
簾幃	lm[xj ww[jw
煉形	lm[hq xk[kp
煉虛合道	lm[hq xu[hy he[rh dc[bz
煉藥	lm[hq yc[cs
梁丘賀	ll[da qq[jh he[lb
寮房	ln[gd fh[hf
廖扶	ln[gx fu[fe
列仙傳	lp[hd xm[ru vr[re
列子	lp[hd zi[lh
林靈素	lb[aa lk[xh su[fy
臨孝恭	lb[uv xn[tz gs[gx
靈寶略記	lk[xh bc[gw lt[tw ji[yk
靈寶派	lk[xh bc[gw pd[dp
靈寶十二齋	lk[xh bc[gw ui[hu er[hh vd[we
靈寶天尊	lk[xh bc[gw tm[hd zy[bc
靈寶玉鑑	lk[xh bc[gw yu[wd jm[uj
靈城精義	lk[xh ig[tw jk[mf yi[di
靈飛經	lk[xh fw[vp jk[ss
靈棋經	lk[xh qi[aq jk[ss
劉焯	lq[wd ic[hb
劉處玄	lq[wd iu[wb xr[wy
劉道合	lq[wd dc[bz he[rh
劉德仁	lq[wd de[ru rf[re
六丁六甲	lq[wb dk[hu lq[wb jx[ou
劉惇	lq[wd dy[xw
劉根	lq[wd gf[ag
劉海蟾	lq[wd hd[dr ij[id
柳華陽	lq[ap hx[ru yh[eo
六極	lq[wb ji[aj
六甲	lq[wb jx[ou
劉靈助	lq[wd lk[xh vu[ql
劉名瑞	lq[wd mk[xk rv[wu
六氣	lq[wb qi[rh
六壬畢法賦	lq[wb rf[qh bi[bu fa[dt fu[bw
六壬大全	lq[wb rf[qh da[hr qr[rw
六壬大佔	lq[wb rf[qh da[hr vj[bk
六壬心鏡要	lq[wb rf[qh xb[dv jk[jl yc[xn
六十元辰	lq[wb ui[hu yr[ee if[ie
劉玄靖	lq[wd xr[wy jk[lf
劉一明	lq[wd yi[hh mk[oo
劉永年	lq[wd ys[dv nm[rn
劉玉	lq[wd yu[wd
劉淵然	lq[wd yr[dp rj[xd
劉元帥	lq[wd yr[ee uk[uj
劉知常	lq[wd vi[uk ih[xk
柳莊相法	lq[ap vl[gt xl[am fa[dt
龍虎還丹訣	ls[yp hu[hj hr[bz dj[kw jt[yv
龍虎交媾	ls[yp hu[hj jn[li gz[ng
龍虎山	ls[yp hu[hj uj[uk
龍虎山上清宮	ls[yp hu[hj uj[uk uh[bh qk[df gs[gk
龍虎相會	ls[yp hu[hj xl[am hv[re
龍門派	ls[yp mf[du pd[dp
龍瑞宮記	ls[yp rv[wu gs[gk ji[yk
龍山石窟	ls[yp uj[uk ui[ek ku[xu
龍章鳳文	ls[yp vh[lo fg[jy wf[wi
樓觀	lz[am gr[yj
樓觀派	lz[am gr[yj pd[dp
婁近坦	lz[mn jb[jz tj[to
陸靜修	lu[ef jk[fd xq[ru
轤轆關	lu[ib lu[ig gr[bt
盧生	lu[bu ug[pf
陸西星	lu[ef xi[hk xk[op
陸修靜	lu[ef xq[ru jk[fd
欒大	lr[ya da[hr
羅浮山	lo[sx fu[da uj[uk
羅思遠	lo[sx si[tx yr[ez
洛陽上清宮	lo[dw yh[eo uh[bh qk[df gs[gk
呂才	lv[kk cd[hu
呂純陽	lv[kk iy[st yh[eo
呂洞賓	lv[kk ds[dk bb[gq
呂嵒	lv[kk yj[[
呂祖百字碑	lv[kk zu[uq bd[eo zi[gz bw[eb
馬丹陽	ma[vv dj[kw yh[eo
麻姑	ma[ga gu[ng
馬韶	ma[vv uc[ld
麻衣道者	ma[ga yi[wy dc[bz ve[to
麻衣相法	ma[ga yi[wy xl[am fa[dt
馬鈺	ma[vv yu[jw
馬祖師	ma[vv zu[uq ui[uh
茅濛	mc[cy mg[dc
茅山宗	mc[cy uj[uk zs[ge
茅盈	mc[cy yk[nm
夢林元解	mg[ax lb[aa yr[ee jp[dd
孟氏易	mg[zm ui[pq yi[ob
夢佔逸旨	mg[ax vj[bk yi[dz vi[bo
祕記	mi[hx ji[yk
苗守信	mn[ct uz[gc xb[ry
苗訓	mn[ct xy[yi
閔小艮	mb[mw xn[ub gf[xv
明崇儼	mk[oo is[ug yj[rh
命受仙氣	mk[rh uz[ay xm[ru qi[rh
明真齋	mk[oo vf[uj vd[we
墨子五行記	mo[ht zi[lh wu[hu xk[rh ji[yk
沐浴	mu[da yu[db
南無派	na[uk mo[ee pd[dp
南鬥星君	nj[uk dz[du xk[op jy[xk
南華真經	nj[uk hx[ru vf[uj jk[ss
南極長生大帝	nj[uk ji[aj ih[ph ug[pf da[hr di[lj
南極仙翁	nj[uk ji[aj xm[ru wg[bx
南樵子	nj[uk qn[av zi[lh
南天師道	nj[uk tm[hd ui[uh dc[bz
南嶽大帝	nj[uk yt[qu da[hr di[lj
內丹	nw[kr dj[kw
內功圖說	nw[kr gs[gl tu[ww uo[yb
鳥情雜佔	nn[nh qk[xf za[ja vj[bk
寧封子	nk[gd fg[tc zi[lh
女丹法	nv[vp dj[kw fa[dt
女幾	nv[vp ji[pv
盤古真人	pj[vm gu[uk vf[uj rf[pd
潘師正	pj[dp ui[uh vg[hv
龐元帥	ph[gy yr[ee uk[uj
彭矯	pg[up jn[up
彭琚	pg[up ju[wu
彭耜	pg[up si[lu
彭曉	pg[up xn[oq
彭質	pg[up vi[pu
彭宗	pg[up zs[ge
披肝露膽經	pi[fp gj[og lu[yz dj[oo jk[ss
破迷正道歌	po[ep mi[mz vg[hv dc[bz ge[kd
七報	qi[hv bc[fe
岐伯	qi[uu bo[rb
氣海	qi[rh hd[dr
七門	qi[hv mf[du
奇門遁甲	qi[dk mf[du dy[pz jx[ou
奇門遁甲賦	qi[dk mf[du dy[pz jx[ou fu[bw
七魄	qi[hv po[bg
七破論	qi[hv po[ep ly[yr
其氣始青	qi[cb qi[rh ui[ns qk[fo
七傷	qi[hv uh[rr
七神	qi[hv uf[uo
七十二地煞	qi[hv ui[hu er[hh di[ty ua[dd
七十二福地	qi[hv ui[hu er[hh fu[uh di[ty
七星人命屬法	qi[hv xk[op rf[pd mk[rh uu[up fa[dt
炁穴	qi[[ xt[gb
七曜歷日	qi[hv yc[ox li[il ri[wh
七曜星官	qi[hv yc[ox xk[op gr[gu
鉛汞	qm[jj gs[gu
鈐訣	qm[jr jt[yv
乾坤會合	qm[ur ky[to hv[re he[rh
乾為天	qm[ur ww[dl tm[hd
籤易	qm[vr yi[ob
敲爻歌	qn[wb yc[ii ge[kd
琴心三疊	qb[wr xb[dv sj[hh dp[yq
青城山	qk[fo ig[tw uj[uk
青城山上清官	qk[fo ig[tw uj[uk uh[bh qk[df gr[gu
清靜經	qk[df jk[fd jk[ss
清靜派	qk[df jk[fd pd[dp
青囊奧語	qk[fo nh[hk ao[pd yu[yw
清水道	qk[df uv[uu dc[bz
