阿巴嘎旗	aa[ek ba[ku ga[ke qi[fr
德化縣	de[ru hx[rq xm[qs
德惠市	de[ru hv[hx ui[wj
德江縣	de[ru jl[dg xm[qs
德令哈市	de[ru lk[rd ha[kr ui[wj
德欽縣	de[ru qb[jd xm[qs
德慶縣	de[ru qk[gd xm[qs
德清縣	de[ru qk[df xm[qs
得榮縣	de[ro rs[ca xm[qs
德興市	de[ru xk[xb ui[wj
德陽市	de[ru yh[eo ui[wj
德州市	de[ru vz[dp ui[wj
登封市	dg[dd fg[tc ui[wj
磴口縣	dg[ed kz[uv xm[qs
燈塔市	dg[hd ta[tc ui[wj
鄧州市	dg[ye vz[dp ui[wj
滴道區	di[dl dc[bz qu[ki
迪慶藏族自治州	di[yz qk[gd zh[cw zu[fr zi[pm vi[ds vz[dp
電白區	dm[ov bd[po qu[ki
墊江縣	dm[ft jl[dg xm[qs
點軍區	dm[bd jy[gi qu[ki
調兵山市	dn[yk bk[qb uj[uk ui[wj
迭部縣	dp[pz bu[le xm[qs
疊彩區	dp[yq cd[ap qu[ki
定安縣	dk[gp an[gn xm[qs
定邊縣	dk[gp bm[lz xm[qs
鼎城區	dk[mv ig[tw qu[ki
定海區	dk[gp hd[dr qu[ki
鼎湖區	dk[mv hu[dg qu[ki
定結縣	dk[gp jp[su xm[qs
定南縣	dk[gp nj[uk xm[qs
丁青縣	dk[hu qk[fo xm[qs
定日縣	dk[gp ri[wh xm[qs
定陶區	dk[gp tc[eb qu[ki
定西市	dk[gp xi[hk ui[wj
定襄縣	dk[gp xl[wk xm[qs
定興縣	dk[gp xk[xb xm[qs
定遠縣	dk[gp yr[ez xm[qs
定州市	dk[gp vz[dp ui[wj
東安區	ds[qx an[gn qu[ki
東安縣	ds[qx an[gn xm[qs
東寶區	ds[qx bc[gw qu[ki
東昌府區	ds[qx ih[oo fu[gr qu[ki
東昌區	ds[qx ih[oo qu[ki
東城區	ds[qx ig[tw qu[ki
東川區	ds[qx ir[pu qu[ki
東阿縣	ds[qx ee[ek xm[qs
東方市	ds[qx fh[dw ui[wj
東風區	ds[qx fg[ji qu[ki
東豐縣	ds[qx fg[su xm[qs
東港區	ds[qx gh[dg qu[ki
東港市	ds[qx gh[dg ui[wj
東莞市	ds[qx gr[cg ui[wj
東光縣	ds[qx gl[xe xm[qs
東海縣	ds[qx hd[dr xm[qs
東河區	ds[qx he[dk qu[ki
東湖區	ds[qx hu[dg qu[ki
洞口縣	ds[dk kz[uv xm[qs
東蘭縣	ds[qx lj[bs xm[qs
東麗區	ds[qx li[hk qu[ki
東遼縣	ds[qx ln[lz xm[qs
東明縣	ds[qx mk[oo xm[qs
東寧市	ds[qx nk[gd ui[wj
東平縣	ds[qx pk[hb xm[qs
東坡區	ds[qx po[tp qu[ki
東區	ds[qx qu[ki
東山區	ds[qx uj[uk qu[ki
東山縣	ds[qx uj[uk xm[qs
東勝區	ds[qx ug[op qu[ki
東臺市	ds[qx td[sk ui[wj
洞頭區	ds[dk tz[dd qu[ki
東烏珠穆沁旗	ds[qx wu[bv vu[wp mu[hb qb[dx qi[fr
東西湖區	ds[qx xi[hk hu[dg qu[ki
東鄉區	ds[qx xl[sp qu[ki
東鄉族自治縣	ds[qx xl[sp zu[fr zi[pm vi[ds xm[qs
東興區	ds[qx xk[xb qu[ki
東興市	ds[qx xk[xb ui[wj
東陽市	ds[qx yh[eo ui[wj
東營區	ds[qx yk[ck qu[ki
東營市	ds[qx yk[ck ui[wj
東源縣	ds[qx yr[di xm[qs
東至縣	ds[qx vi[ht xm[qs
東洲區	ds[qx vz[dd qu[ki
都安瑤族自治縣	dz[te an[gn yc[wa zu[fr zi[pm vi[ds xm[qs
斗門區	dz[du mf[du qu[ki
都昌縣	du[te ih[oo xm[qs
杜爾伯特蒙古族自治縣	du[at er[dx bo[rb te[nt mg[ch gu[uk zu[fr zi[pm vi[ds xm[qs
杜集區	du[at ji[va qu[ki
都江堰市	du[te jl[dg yj[tk ui[wj
都蘭縣	du[te lj[bs xm[qs
獨山縣	du[qi uj[uk xm[qs
獨山子區	du[qi uj[uk zi[lh qu[ki
都勻市	du[te yy[bd ui[wj
端州區	dr[lu vz[dp qu[ki
堆龍德慶區	dv[tv ls[yp de[ru qk[gd qu[ki
敦化市	dy[ww hx[rq ui[wj
敦煌市	dy[ww hl[hb ui[wj
掇刀區	do[fy dc[vp qu[ki
多倫縣	do[xx ly[rr xm[qs
峨邊彝族自治縣	ee[up bm[lz yi[vm zu[fr zi[pm vi[ds xm[qs
鄂城區	ee[ke ig[tw qu[ki
鄂爾多斯市	ee[ke er[dx do[xx si[qj ui[wj
額爾古納市	ee[gy er[dx gu[uk na[sk ui[wj
額濟納旗	ee[gy ji[dw na[sk qi[fr
鄂倫春自治旗	ee[ke ly[rr iy[so zi[pm vi[ds qi[fr
峨眉山市	ee[up mw[mm uj[uk ui[wj
額敏縣	ee[gy mb[rw xm[qs
峨山彝族自治縣	ee[up uj[uk yi[vm zu[fr zi[pm vi[ds xm[qs
鄂托克旗	ee[ke to[fp ke[ge qi[fr
鄂托克前旗	ee[ke to[fp ke[ge qm[bo qi[fr
鄂溫克族自治旗	ee[ke wf[do ke[ge zu[fr zi[pm vi[ds qi[fr
鄂州市	ee[ke vz[dp ui[wj
恩平市	en[wx pk[hb ui[wj
恩施市	en[wx ui[fr ui[wj
恩施土家族苗族自治州	en[wx ui[fr tu[uh jx[gu zu[fr mn[ct zu[fr zi[pm vi[ds vz[dp
恩陽區	en[wx yh[eo qu[ki
二道江區	er[hh dc[bz jl[dg qu[ki
二道區	er[hh dc[bz qu[ki
二連浩特市	er[hh lm[iz hc[dn te[nt ui[wj
二七區	er[hh qi[hv qu[ki
洱源縣	er[de yr[di xm[qs
法庫縣	fa[dt ku[gi xm[qs
繁昌區	fj[ry ih[oo qu[ki
樊城區	fj[ad ig[tw qu[ki
繁峙縣	fj[ry ui[ut xm[qs
範縣	fj[cd xm[qs
防城港市	fh[ef ig[tw gh[dg ui[wj
防城區	fh[ef ig[tw qu[ki
方城縣	fh[dw ig[tw xm[qs
房山區	fh[hf uj[uk qu[ki
方山縣	fh[dw uj[uk xm[qs
房縣	fh[hf xm[qs
方正縣	fh[dw vg[hv xm[qs
坊子區	fh[tf zi[lh qu[ki
肥城市	fw[ob ig[tw ui[wj
肥東縣	fw[ob ds[qx xm[qs
肥西縣	fw[ob xi[hk xm[qs
費縣	fw[fb xm[qs
肥鄉區	fw[ob xl[sp qu[ki
汾西縣	ff[df xi[hk xm[qs
汾陽市	ff[df yh[eo ui[wj
分宜縣	ff[bd yi[gq xm[qs
豐城市	fg[su ig[tw ui[wj
鳳城市	fg[jy ig[tw ui[wj
豐都縣	fg[su du[te xm[qs
峰峰礦區	fg[uw fg[uw kl[eg qu[ki
鳳岡縣	fg[jy gh[ki xm[qs
奉化區	fg[sf hx[rq qu[ki
鳳凰縣	fg[jy hl[jb xm[qs
奉節縣	fg[sf jp[ce xm[qs
封開縣	fg[tc kd[hc xm[qs
豐林縣	fg[su lb[aa xm[qs
豐滿區	fg[su mj[dc qu[ki
豐南區	fg[su nj[uk qu[ki
豐寧滿族自治縣	fg[su nk[gd mj[dc zu[fr zi[pm vi[ds xm[qs
鳳慶縣	fg[jy qk[gd xm[qs
封丘縣	fg[tc qq[jh xm[qs
鳳泉區	fg[jy qr[bu qu[ki
豐潤區	fg[su ry[dm qu[ki
鳳山縣	fg[jy uj[uk xm[qs
豐順縣	fg[su uy[iy xm[qs
豐臺區	fg[su td[sk qu[ki
鳳臺縣	fg[jy td[sk xm[qs
豐縣	fg[su xm[qs
鳳縣	fg[jy xm[qs
奉賢區	fg[sf xm[ub qu[ki
鳳翔縣	fg[jy xl[yx xm[qs
奉新縣	fg[sf xb[lj xm[qs
鳳陽縣	fg[jy yh[eo xm[qs
豐澤區	fg[su ze[dy qu[ki
豐鎮市	fg[su vf[ju ui[wj
佛岡縣	fo[rf gh[ki xm[qs
佛坪縣	fo[rf pk[tp xm[qs
佛山市	fo[rf uj[uk ui[wj
福安市	fu[uh an[gn ui[wj
涪城區	fu[dl ig[tw qu[ki
阜城縣	fu[pu ig[tw xm[qs
富川瑤族自治縣	fu[gh ir[pu yc[wa zu[fr zi[pm vi[ds xm[qs
福鼎市	fu[uh dk[mv ui[wj
扶風縣	fu[fe fg[ji xm[qs
福貢縣	fu[uh gs[gb xm[qs
扶溝縣	fu[fe gz[db xm[qs
府谷縣	fu[gr gu[bk xm[qs
福海縣	fu[uh hd[dr xm[qs
福建省	fu[uh jm[yj ug[xm
富錦市	fu[gh jb[jb ui[wj
阜康市	fu[pu kh[gx ui[wj
富拉爾基區	fu[gh la[fl er[dx ji[qt qu[ki
浮樑縣	fu[da ll[da xm[qs
涪陵區	fu[dl lk[et qu[ki
福綿區	fu[uh mm[sb qu[ki
富民縣	fu[gh mb[kv xm[qs
阜南縣	fu[pu nj[uk xm[qs
撫寧區	fu[fe nk[gd qu[ki
富寧縣	fu[gh nk[gd xm[qs
阜寧縣	fu[pu nk[gd xm[qs
富平縣	fu[gh pk[hb xm[qs
阜平縣	fu[pu pk[hb xm[qs
福清市	fu[uh qk[df ui[wj
福泉市	fu[uh qr[bu ui[wj
芙蓉區	fu[ce rs[cx qu[ki
福山區	fu[uh uj[uk qu[ki
浮山縣	fu[da uj[uk xm[qs
撫順市	fu[fe uy[iy ui[wj
富順縣	fu[gh uy[iy xm[qs
