阿苯噠唑	aa[ek bf[ca da[kd zo[kr
氨基苯乙炔	an[qg ji[qt bf[ca yi[vv qt[hv
氨基苯乙酸	an[qg ji[qt bf[ca yi[vv sr[ys
氨基吡啶	an[qg ji[qt bi[kb dk[kg
氨基吡啶羧酸	an[qg ji[qt bi[kb dk[kg so[ys sr[ys
氨基吡咯烷	an[qg ji[qt bi[kb lo[kw wj[hg
氨基吡嗪	an[qg ji[qt bi[kb qb[ks
氨基吡唑	an[qg ji[qt bi[kb zo[kr
氨基丙醇	an[qg ji[qt bk[hk iy[yw
氨基丙二醇	an[qg ji[qt bk[hk er[hh iy[yw
氨基丙基咪唑	an[qg ji[qt bk[hk ji[qt mi[km zo[kr
氨基丙腈	an[qg ji[qt bk[hk jk[of
胺基丙酸	an[og ji[qt bk[hk sr[ys
氨基碘吡啶	an[qg ji[qt dm[ed bi[kb dk[kg
氨基碘甲苯	an[qg ji[qt dm[ed jx[ou bf[ca
氨基蝶呤	an[qg ji[qt dp[in lk[kr
氨基丁醇	an[qg ji[qt dk[hu iy[yw
氨基丁烯腈	an[qg ji[qt dk[hu xi[hi jk[of
氨基對甲酚	an[qg ji[qt dv[yc jx[ou ff[yf
氨基蒽醌	an[qg ji[qt en[cw ky[yo
氨基二苯胺	an[qg ji[qt er[hh bf[ca an[og
氨基二苯甲酮	an[qg ji[qt er[hh bf[ca jx[ou ts[yk
氨基二氯苯酚	an[qg ji[qt er[hh lv[qx bf[ca ff[yf
氨基二氯吡啶	an[qg ji[qt er[hh lv[qx bi[kb dk[kg
氨基二氯酚	an[qg ji[qt er[hh lv[qx ff[yf
氨基二氯嘧啶	an[qg ji[qt er[hh lv[qx mi[kg dk[kg
氨基放線菌素	an[qg ji[qt fh[fw xm[sj jy[cw su[fy
氨基酚磺酸	an[qg ji[qt ff[yf hl[eg sr[ys
氨基氟甲苯	an[qg ji[qt fu[qf jx[ou bf[ca
氨基庚酸	an[qg ji[qt gg[gx sr[ys
氨基胍磺酸鹽	an[qg ji[qt gx[op hl[eg sr[ys yj[tm
氨基胍磷酸鹽	an[qg ji[qt gx[op lb[em sr[ys yj[tm
氨基胍硫酸鹽	an[qg ji[qt gx[op lq[ew sr[ys yj[tm
氨基胍碳酸鹽	an[qg ji[qt gx[op tj[eu sr[ys yj[tm
氨基胍硝酸鹽	an[qg ji[qt gx[op xn[ex sr[ys yj[tm
氨基胍鹽酸鹽	an[qg ji[qt gx[op yj[tm sr[ys yj[tm
氨基硅油	an[qg ji[qt gv[et yz[dy
氨基黑	an[qg ji[qt hw[sd
氨基磺酸胺	an[qg ji[qt hl[eg sr[ys an[og
氨基磺酸鈷	an[qg ji[qt hl[eg sr[ys gu[jg
氨基磺酸胍	an[qg ji[qt hl[eg sr[ys gx[op
氨基磺酸鈉	an[qg ji[qt hl[eg sr[ys na[jk
氨基磺酸樹脂	an[qg ji[qt hl[eg sr[ys uu[ay vi[ob
氨基磺酸鋅	an[qg ji[qt hl[eg sr[ys xb[jl
氨基鉀	an[qg ji[qt jx[jo
氨基甲碸丁酸	an[qg ji[qt jx[ou fg[ef dk[hu sr[ys
氨基甲基吡啶	an[qg ji[qt jx[ou ji[qt bi[kb dk[kg
氨基甲基吡唑	an[qg ji[qt jx[ou ji[qt bi[kb zo[kr
氨基甲基丙醇	an[qg ji[qt jx[ou ji[qt bk[hk iy[yw
氨基甲基嘌呤	an[qg ji[qt jx[ou ji[qt pn[kx lk[kr
氨基甲基噻唑	an[qg ji[qt jx[ou ji[qt sd[kg zo[kr
氨基甲酸甲酯	an[qg ji[qt jx[ou sr[ys jx[ou vi[yb
氨基間甲酚	an[qg ji[qt jm[mo jx[ou ff[yf
氨基咔唑	an[qg ji[qt ka[ku zo[kr
氨基喹啉	an[qg ji[qt kv[kd lb[ka
胺基聯苯	an[og ji[qt lm[eb bf[ca
氨基聯苯	an[qg ji[qt lm[eb bf[ca
氨基鄰甲酚	an[qg ji[qt lb[re jx[ou ff[yf
氨基氯苯酚	an[qg ji[qt lv[qx bf[ca ff[yf
氨基氯苯甲腈	an[qg ji[qt lv[qx bf[ca jx[ou jk[of
氨基氯苯甲酸	an[qg ji[qt lv[qx bf[ca jx[ou sr[ys
胺基氯吡啶	an[og ji[qt lv[qx bi[kb dk[kg
氨基氯吡啶	an[qg ji[qt lv[qx bi[kb dk[kg
氨基氯酚	an[qg ji[qt lv[qx ff[yf
氨基氯聯苯	an[qg ji[qt lv[qx lm[eb bf[ca
氨基氯嘌呤	an[qg ji[qt lv[qx pn[kx lk[kr
氨基鈉	an[qg ji[qt na[jk
氨基萘酚磺酸	an[qg ji[qt nd[cd ff[yf hl[eg sr[ys
氨基萘甲酸	an[qg ji[qt nd[cd jx[ou sr[ys
氨基脲	an[qg ji[qt nn[ou
氨基尿嘧啶	an[qg ji[qt nn[uu mi[kg dk[kg
氨基脲鹽酸鹽	an[qg ji[qt nn[ou yj[tm sr[ys yj[tm
氨基偶氮苯	an[qg ji[qt ou[ro dj[qh bf[ca
氨基哌啶	an[qg ji[qt pd[kp dk[kg
氨基葡糖酸	an[qg ji[qt pu[cb th[mg sr[ys
氨基葡萄糖酸	an[qg ji[qt pu[cb tc[cb th[mg sr[ys
氨基羥基吡啶	an[qg ji[qt ql[ys ji[qt bi[kb dk[kg
氨基羥基丁酸	an[qg ji[qt ql[ys ji[qt dk[hu sr[ys
氨基羥基戊酸	an[qg ji[qt ql[ys ji[qt wu[iv sr[ys
氨基氰基吡唑	an[qg ji[qt qk[qf ji[qt bi[kb zo[kr
氨基氰基嘧啶	an[qg ji[qt qk[qf ji[qt mi[kg dk[kg
氨基青黴烷酸	an[qg ji[qt qk[fo mw[yr wj[hg sr[ys
氨基氰嘧啶	an[qg ji[qt qk[qf mi[kg dk[kg
氨基醛基噻唑	an[qg ji[qt qr[yc ji[qt sd[kg zo[kr
氨基噻二唑	an[qg ji[qt sd[kg er[hh zo[kr
氨基噻唑	an[qg ji[qt sd[kg zo[kr
氨基噻唑啉	an[qg ji[qt sd[kg zo[kr lb[ka
氨基三醇	an[qg ji[qt sj[hh iy[yw
氨基三氮唑	an[qg ji[qt sj[hh dj[qh zo[kr
氨基三氟甲苯	an[qg ji[qt sj[hh fu[qf jx[ou bf[ca
氨基三乙酸	an[qg ji[qt sj[hh yi[vv sr[ys
氨基十一酸	an[qg ji[qt ui[hu yi[hh sr[ys
氨基疏基嘌呤	an[qg ji[qt uu[pw ji[qt pn[kx lk[kr
氨基樹脂	an[qg ji[qt uu[ay vi[ob
氨基水揚酸	an[qg ji[qt uv[uu yh[fv sr[ys
氨基水楊酸	an[qg ji[qt uv[uu yh[av sr[ys
氨基四氮唑	an[qg ji[qt si[we dj[qh zo[kr
氨基四氫吡咯	an[qg ji[qt si[we qk[qs bi[kb lo[kw
氨基酸參標準	an[qg ji[qt sr[ys cj[sd bn[ae vy[dv
氨基酸溶液	an[qg ji[qt sr[ys rs[dx ye[dw
氨基酸系列	an[qg ji[qt sr[ys xi[py lp[hd
氨基酸氧化酶	an[qg ji[qt sr[ys yh[qy hx[rq mw[yr
氨基鐵氰化鈉	an[qg ji[qt tp[jp qk[qf hx[rq na[jk
胺基物	an[og ji[qt wu[nb
氨基芴	an[qg ji[qt wu[cb
氨基戊醇	an[qg ji[qt wu[iv iy[yw
氨基戊酸	an[qg ji[qt wu[iv sr[ys
氨基物鹽酸鹽	an[qg ji[qt wu[nb yj[tm sr[ys yj[tm
氨基硝基苯酚	an[qg ji[qt xn[ex ji[qt bf[ca ff[yf
氨基硝基吡啶	an[qg ji[qt xn[ex ji[qt bi[kb dk[kg
氨基硝基酚	an[qg ji[qt xn[ex ji[qt ff[yf
氨基硝基噻唑	an[qg ji[qt xn[ex ji[qt sd[kg zo[kr
氨基辛酸	an[qg ji[qt xb[lu sr[ys
氨基鋅酸	an[qg ji[qt xb[jl sr[ys
氨基溴苯酚	an[qg ji[qt xq[dz bf[ca ff[yf
氨基溴苯甲酸	an[qg ji[qt xq[dz bf[ca jx[ou sr[ys
氨基溴苯乙酮	an[qg ji[qt xq[dz bf[ca yi[vv ts[yk
氨基溴吡啶	an[qg ji[qt xq[dz bi[kb dk[kg
氨基溴基吡啶	an[qg ji[qt xq[dz ji[qt bi[kb dk[kg
氨基煙酸	an[qg ji[qt yj[hw sr[ys
氨基煙酸甲酯	an[qg ji[qt yj[hw sr[ys jx[ou vi[yb
氨基煙酸乙酯	an[qg ji[qt yj[hw sr[ys yi[vv vi[yb
氨基煙酰胺	an[qg ji[qt yj[hw xm[yn an[og
胺基乙苯	an[og ji[qt yi[vv bf[ca
氨基異丁酸	an[qg ji[qt yi[kc dk[hu sr[ys
氨基乙基咔唑	an[qg ji[qt yi[vv ji[qt ka[ku zo[kr
氨基乙基哌嗪	an[qg ji[qt yi[vv ji[qt pd[kp qb[ks
氨基異喹啉	an[qg ji[qt yi[kc kv[kd lb[ka
氨基乙硫醚	an[qg ji[qt yi[vv lq[ew mi[ym
氨基乙炔	an[qg ji[qt yi[vv qt[hv
氨基乙酸	an[qg ji[qt yi[vv sr[ys
氨基乙烷磺酸	an[qg ji[qt yi[vv wj[hg hl[eg sr[ys
氨基茚	an[qg ji[qt yb[cp
氨基吲哚	an[qg ji[qt yb[kg do[kj
氨基熒光素	an[qg ji[qt yk[ch gl[xe su[fy
氨基預柱	an[qg ji[qt yu[yy vu[ad
氨基正辛酸	an[qg ji[qt vg[hv xb[lu sr[ys
氨甲蝶呤	an[qg jx[ou dp[in lk[kr
氨甲蝶呤度	an[qg jx[ou dp[in lk[kr du[gn
氨甲基吡啶	an[qg jx[ou ji[qt bi[kb dk[kg
胺甲基氟苯腈	an[og jx[ou ji[qt fu[qf bf[ca jk[of
胺甲烷	an[og jx[ou wj[hg
氨鹼法	an[qg jm[ew fa[dt
胺菊酯	an[og ju[cb vi[yb
氨冷	an[qg lg[dr
氨冷器	an[qg lg[dr qi[kq
銨明礬	an[jg mk[oo fj[ej
氨母液	an[qg mu[vv ye[dw
氨母液二泥泵	an[qg mu[vv ye[dw er[hh ni[du bg[eu
氨母液二桶	an[qg mu[vv ye[dw er[hh ts[as
氨巰基嘌呤	an[qg qq[sw ji[qt pn[kx lk[kr
安全漏斗	an[gn qr[rw lz[du dz[du
安全柵櫃	an[gn qr[rw uj[ak gv[ak
安殺番	an[gn ua[ia fj[pt
氨水	an[qg uv[uu
氨羧絡合劑	an[qg so[ys lo[sw he[rh ji[wd
氨態氮	an[qg td[dx dj[qh
安太非隆	an[gn td[dd fw[su ls[ew
氨羰基化	an[qg th[yu ji[qt hx[rq
安替比林偶氮	an[gn ti[eo bi[bb lb[aa ou[ro dj[qh
安替配因	an[gn ti[eo pw[yk yb[wd
氨吸收冷卻器	an[qg xi[kj uz[vw lg[dr qt[te qi[kq
安息香丁醚	an[gn xi[zx xl[ho dk[hu mi[ym
安息香二甲醚	an[gn xi[zx xl[ho er[hh jx[ou mi[ym
安息香甲醚	an[gn xi[zx xl[ho jx[ou mi[ym
安息香膠	an[gn xi[zx xl[ho jn[ol
安息香雙甲醚	an[gn xi[zx xl[ho ul[yy jx[ou mi[ym
安息香酸	an[gn xi[zx xl[ho sr[ys
安息香肟	an[gn xi[zx xl[ho wo[oh
安息香乙醚	an[gn xi[zx xl[ho yi[vv mi[ym
氨液分離器	an[qg ye[dw ff[bd li[wk qi[kq
桉葉油醇	an[ag ye[ku yz[dy iy[yw
氨乙基辰秦	an[qg yi[vv ji[qt if[ie qb[sh
氨乙基嗎啉	an[qg yi[vv ji[qt ma[km lb[ka
氨乙基哌嗪	an[qg yi[vv ji[qt pd[kp qb[ks
奧比沙星	ao[pd bi[bb ua[dx xk[op
螯合環	ao[fi he[rh hr[wb
螯合鐵	ao[fi he[rh tp[jp
奧黃	ao[pd hl[gy
奧濟酸	ao[pd ji[dw sr[ys
奧克洛現象	ao[pd ke[ge lo[dw xm[wj xl[dk
巴比妥鈉鹽	ba[ku bi[bb to[an na[jk yj[tm
巴比妥酸	ba[ku bi[bb to[an sr[ys
巴比妥酸鈉	ba[ku bi[bb to[an sr[ys na[jk
鈀標準溶液	ba[jb bn[ae vy[dv rs[dx ye[dw
鈀箔	ba[jb bo[vd
巴豆醇	ba[ku dz[hk iy[yw
巴豆醛	ba[ku dz[hk qr[yc
巴豆酸	ba[ku dz[hk sr[ys
巴豆酸乙酯	ba[ku dz[hk sr[ys yi[vv vi[yb
鈀粉	ba[jb ff[mf
八氟環丁烷	ba[pd fu[qf hr[wb dk[hu wj[hg
鈀海綿	ba[jb hd[dr mm[sb
巴拉松	ba[ku la[fl ss[ab
巴拉刈	ba[ku la[fl yi[id
巴柳氮二鈉鹽	ba[ku lq[ap dj[qh er[hh na[jk yj[tm
八氯	ba[pd lv[qx
八氯二丙醚	ba[pd lv[qx er[hh bk[hk mi[ym
八氯化茚	ba[pd lv[qx hx[rq yb[cp
八氯萘	ba[pd lv[qx nd[cd
巴美靈	ba[ku mw[bw lk[xh
八羥丙基蔗糖	ba[pd ql[ys bk[hk ji[qt ve[cg th[mg
八氫吲嗪三醇	ba[pd qk[qs yb[kg qb[ks sj[hh iy[yw
八十叔胺	ba[pd ui[hu uu[uy an[og
八叔胺	ba[pd uu[uy an[og
鈀絲	ba[jb si[sh
鈀碳	ba[jb tj[eu
鈀炭催化劑	ba[jb tj[uu cv[ru hx[rq ji[wd
八羰酰二鈷	ba[pd th[yu xm[yn er[hh gu[jg
靶託	ba[gb to[fp
巴西蘇木素	ba[ku xi[hk su[cl mu[ub su[fy
巴西棕櫚蠟	ba[ku xi[hk zs[ag lv[am la[ig
八溴酚磺酞	ba[pd xq[dz ff[yf hl[eg td[yd
八溴醚	ba[pd xq[dz mi[ym
八氧化三鈾	ba[pd yh[qy hx[rq sj[hh yz[jy
白氨醇	bd[po an[qg iy[yw
白氨酸	bd[po an[qg sr[ys
白氨酸丙氨酸	bd[po an[qg sr[ys bk[hk an[qg sr[ys
白氨酰甘氨酸	bd[po an[qg xm[yn gj[nh an[qg sr[ys
白氨酰酪氨酸	bd[po an[qg xm[yn lc[yw an[qg sr[ys
白蛋白	bd[po dj[pi bd[po
白蝶呤	bd[po dp[in lk[kr
白凡士林	bd[po fj[jd ui[uh lb[aa
白糊精	bd[po hu[mg jk[mf
白滑粉	bd[po hx[dg ff[mf
白花青素	bd[po hx[cr qk[fo su[fy
百里酚藍	bd[eo li[ot ff[yf lj[cu
百里酚藍鈉鹽	bd[eo li[ot ff[yf lj[cu na[jk yj[tm
百里酚酞	bd[eo li[ot ff[yf td[yd
百里酚紫	bd[eo li[ot ff[yf zi[vy
百里香酚酞	bd[eo li[ot xl[ho ff[yf td[yd
白屈菜鹼	bd[po qu[ui cd[ca jm[ew
白屈菜酸	bd[po qu[ui cd[ca sr[ys
白軟蠟	bd[po rr[id la[ig
白色沉澱	bd[po se[db if[dg dm[dg
白色擔體	bd[po se[db dj[fo ti[ra
白色硅膠	bd[po se[db gv[et jn[ol
白色酸洗擔體	bd[po se[db sr[ys xi[dn dj[fo ti[ra
白炭黑	bd[po tj[uu hw[sd
白碳黑	bd[po tj[eu hw[sd
白甜菜糖	bd[po tm[qg cd[ca th[mg
斑螯素	bj[ww ao[fi su[fy
半波電位	bj[bf bo[dp dm[ov ww[rl
半補強劑	bj[bf bu[yb ql[gk ji[wd
斑點坯	bj[ww dm[bd pi[tb
半二甲酚橙	bj[bf er[hh jx[ou ff[yf ig[ad
版感光膠	bj[pp gj[wx gl[xe jn[ol
半固體瓊脂	bj[bf gu[wg ti[ra qs[ww vi[ob
半胱胺酸	bj[bf gl[ox an[og sr[ys
板換	bj[ap hr[fd
半交換期	bj[bf jn[li hr[fd qi[qo
半膠束	bj[bf jn[ol uu[hk
版潔版液	bj[pp jp[du bj[pp ye[dw
半連續聚合	bj[bf lm[iz xu[su ju[ep he[rh
斑蝥素黃嘌呤	bj[ww mc[yi su[fy hl[gy pn[kx lk[kr
半貧液	bj[bf pb[fb ye[dw
半貧液泵	bj[bf pb[fb ye[dw bg[eu
半貧液水冷器	bj[bf pb[fb ye[dw uv[uu lg[dr qi[kq
半日花素	bj[bf ri[wh hx[cr su[fy
半乳糖	bj[bf ru[av th[mg
半乳糖苷	bj[bf ru[av th[mg gj[cg
半乳糖內酯	bj[bf ru[av th[mg nw[kr vi[yb
半乳糖醛酸	bj[bf ru[av th[mg qr[yc sr[ys
半乳糖酸鈣	bj[bf ru[av th[mg sr[ys gd[jx
半乳糖鹽酸	bj[bf ru[av th[mg yj[tm sr[ys
班氏溶液	bj[wd ui[pq rs[dx ye[dw
班氏試劑	bj[wd ui[pq ui[yq ji[wd
半縮醛	bj[bf so[sg qr[yc
半微量分析	bj[bf ww[ru ll[oh ff[bd xi[aj
胞壁酸	bc[ob bi[ut sr[ys
薄層層析硅膠	bc[cd cg[ue cg[ue xi[aj gv[et jn[ol
胞苷	bc[ob gj[cg
胞苷磷酸	bc[ob gj[cg lb[em sr[ys
飽和酚	bc[ub he[hk ff[yf
胞核苷	bc[ob he[aw gj[cg
包合聚合	bc[bk he[rh ju[ep he[rh
飽和鏈烴	bc[ub he[hk lm[ji tk[hs
飽和鹵代烴	bc[ub he[hk lu[bw dd[rq tk[hs
飽和溶液	bc[ub he[hk rs[dx ye[dw
飽和十八碳酰胺	bc[ub he[hk ui[hu ba[pd tj[eu xm[yn an[og
飽和烴	bc[ub he[hk tk[hs
包合物	bc[bk he[rh wu[nb
飽和脂肪酸	bc[ub he[hk vi[ob fh[of sr[ys
包合作用	bc[bk he[rh zo[rv ys[ou
保留體積	bc[rk lq[pt ti[ra ji[hk
包埋劑	bc[bk md[to ji[wd
包囊化作用	bc[bk nh[hk hx[rq zo[rv ys[ou
倍半萜	bw[rl bj[bf tp[cj
鋇棒	bw[jb bh[as
鋇標準溶液	bw[jb bn[ae vy[dv rs[dx ye[dw
北方三泰	bw[ub fh[dw sj[hh td[su
被俘獲電子	bw[yp fu[ra ho[cq dm[ov zi[lh
鋇鎘鋅穩定劑	bw[jb ge[jh xb[jl wf[hd dk[gp ji[wd
北化機	bw[ub hx[rq ji[aj
貝加因	bw[kr jx[lk yb[wd
鋇鋁合金	bw[jb lv[jk he[rh jb[rw
背散射	bw[bo sj[gw ue[uc
苝四甲酸二酐	bw[[ si[we jx[ou sr[ys er[hh gj[yg
苝四羧酸二酐	bw[[ si[we so[ys sr[ys er[hh gj[yg
倍他米松	bw[rl ta[ry mi[ba ss[ab
苝酰亞胺	bw[[ xm[yn ya[hy an[og
備用閥	bw[wt ys[ou fa[mr
苯胺	bf[ca an[og
苯胺紅	bf[ca an[og hs[sg
苯胺基醋酸	bf[ca an[og ji[qt cu[yg sr[ys
苯氨基乙腈	bf[ca an[qg ji[qt yi[vv jk[of
苯胺藍醇溶	bf[ca an[og lj[cu iy[yw rs[dx
苯胺藍水溶	bf[ca an[og lj[cu uv[uu rs[dx
苯胺硫酸鹽	bf[ca an[og lq[ew sr[ys yj[tm
苯胺鹽酸鹽	bf[ca an[og yj[tm sr[ys yj[tm
苯胺乙酸鹽	bf[ca an[og yi[vv sr[ys yj[tm
苯巴比妥鈉鹽	bf[ca ba[ku bi[bb to[an na[jk yj[tm
苯丙氨醇	bf[ca bk[hk an[qg iy[yw
苯丙胺硫酸鹽	bf[ca bk[hk an[og lq[ew sr[ys yj[tm
苯丙氨酸	bf[ca bk[hk an[qg sr[ys
苯丙氨酸氮芥	bf[ca bk[hk an[qg sr[ys dj[qh jp[cr
苯並苝	bf[ca bk[bk bw[[
苯並噌啉	bf[ca bk[bk cg[kb lb[ka
苯丙醇	bf[ca bk[hk iy[yw
苯丙蒽	bf[ca bk[hk en[cw
苯並蒽二酮	bf[ca bk[bk en[cw er[hh ts[yk
苯並蒽酮	bf[ca bk[bk en[cw ts[yk
苯並菲	bf[ca bk[bk fw[cf
苯並呋喃羧酸	bf[ca bk[bk fu[ke nj[ku so[ys sr[ys
苯並冠醚	bf[ca bk[bk gr[ge mi[ym
苯並喹啉	bf[ca bk[bk kv[kd lb[ka
苯並咪唑	bf[ca bk[bk mi[km zo[kr
苯並芘	bf[ca bk[bk pi[cb
苯丙乳液	bf[ca bk[hk ru[av ye[dw
苯並噻二唑	bf[ca bk[bk sd[kg er[hh zo[kr
苯並噻唑	bf[ca bk[bk sd[kg zo[kr
苯並噻唑酮	bf[ca bk[bk sd[kg zo[kr ts[yk
苯並三氯氨唑	bf[ca bk[bk sj[hh lv[qx an[qg zo[kr
苯丙素	bf[ca bk[hk su[fy
苯丙酸	bf[ca bk[hk sr[ys
苯丙酸甲酯	bf[ca bk[hk sr[ys jx[ou vi[yb
苯丙酸乙酯	bf[ca bk[hk sr[ys yi[vv vi[yb
苯並天青	bf[ca bk[bk tm[hd qk[fo
苯丙酮	bf[ca bk[hk ts[yk
苯並芴	bf[ca bk[bk wu[cb
苯丙酰氯	bf[ca bk[hk xm[yn lv[qx
苯丙異噻唑酮	bf[ca bk[hk yi[kc sd[kg zo[kr ts[yk
苯次膦酸	bf[ca ci[dd lb[om sr[ys
本膽烷醇酮	bf[ah dj[oo wj[hg iy[yw ts[yk
本多生醇	bf[ah do[xx ug[pf iy[yw
苯二甲腈	bf[ca er[hh jx[ou jk[of
苯二甲酸	bf[ca er[hh jx[ou sr[ys
苯二甲酸二丁酯	bf[ca er[hh jx[ou sr[ys er[hh dk[hu vi[yb
苯二甲酸氫鈉	bf[ca er[hh jx[ou sr[ys qk[qs na[jk
苯酚	bf[ca ff[yf
苯酚標準溶液	bf[ca ff[yf bn[ae vy[dv rs[dx ye[dw
苯酚磺酸鋇鹽	bf[ca ff[yf hl[eg sr[ys bw[jb yj[tm
苯酚磺酸鈉	bf[ca ff[yf hl[eg sr[ys na[jk
苯酚磺酸鈉鹽	bf[ca ff[yf hl[eg sr[ys na[jk yj[tm
苯酚磺酸溶液	bf[ca ff[yf hl[eg sr[ys rs[dx ye[dw
苯酚磺酸鋅鹽	bf[ca ff[yf hl[eg sr[ys xb[jl yj[tm
苯酚鈉	bf[ca ff[yf na[jk
苯甘氨醇	bf[ca gj[nh an[qg iy[yw
苯紅紫	bf[ca hs[sg zi[vy
苯磺酸	bf[ca hl[eg sr[ys
苯磺酸鋇	bf[ca hl[eg sr[ys bw[jb
苯磺酸鈣	bf[ca hl[eg sr[ys gd[jx
苯磺酸甲酯	bf[ca hl[eg sr[ys jx[ou vi[yb
苯磺酸鈉	bf[ca hl[eg sr[ys na[jk
苯磺酸水	bf[ca hl[eg sr[ys uv[uu
苯磺酸水溶液	bf[ca hl[eg sr[ys uv[uu rs[dx ye[dw
苯磺酸異丙酯	bf[ca hl[eg sr[ys yi[kc bk[hk vi[yb
苯磺酰胺	bf[ca hl[eg xm[yn an[og
苯磺酰肼	bf[ca hl[eg xm[yn jk[oe
苯磺酰氯	bf[ca hl[eg xm[yn lv[qx
苯磺酰羥胺	bf[ca hl[eg xm[yn ql[ys an[og
苯磺酰羥肟酸	bf[ca hl[eg xm[yn ql[ys wo[oh sr[ys
苯基	bf[ca ji[qt
苯基氨基脲	bf[ca ji[qt an[qg ji[qt nn[ou
苯基氨乙醇	bf[ca ji[qt an[qg yi[vv iy[yw
苯基保泰松	bf[ca ji[qt bc[rk td[su ss[ab
苯基苯	bf[ca ji[qt bf[ca
苯基苯並咪唑	bf[ca ji[qt bf[ca bk[bk mi[km zo[kr
苯基苯並噻唑	bf[ca ji[qt bf[ca bk[bk sd[kg zo[kr
